order_id,customer_id,product_id,order_date,quantity,unit_price,revenue,payment_method,product_name,category,cost,age,gender,city,customer_segment,signup_date,profit,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
O00012,C0345,P078,2024-02-07,5,3591,17955,Card,Product_78,Beauty,20053,51,Male,Bangalore,Regular,2024-05-24,-82310,98,9,623749,1,2,2,5,At Risk
O00013,C0412,P098,2024-12-09,5,48468,242340,Card,Product_98,Fashion,19457,49,Female,Hyderabad,Premium,2024-05-14,145055,22,12,1462042,3,4,5,12,Loyal Customers
O00014,C0246,P027,2024-01-08,3,20869,62607,Card,Product_27,Sports,24587,40,Male,Chennai,Premium,2024-11-13,-11154,17,20,2230764,4,5,5,14,Champions
O00015,C0480,P025,2024-09-02,1,49947,49947,Card,Product_25,Electronics,45738,63,Female,Bangalore,Regular,2024-06-27,4209,43,11,1036124,2,3,4,9,Potential Loyal
O00016,C0357,P078,2024-05-02,2,26993,53986,Cash,Product_78,Beauty,20053,32,Male,Mumbai,Premium,2024-05-31,13880,27,7,532851,3,1,1,5,At Risk
O00017,C0398,P037,2024-09-30,4,31556,126224,Cash,Product_37,Sports,5865,23,Female,Delhi,Regular,2024-11-04,102764,92,7,693115,1,1,2,4,At Risk
O00018,C0158,P034,2024-09-11,3,34607,103821,Net Banking,Product_34,Sports,31356,29,Female,Mumbai,Regular,2024-05-12,9753,4,10,934455,5,3,3,11,Loyal Customers
O00019,C0051,P093,2024-06-12,4,50914,203656,Card,Product_93,Electronics,16538,61,Male,Delhi,Regular,2024-06-22,137504,90,9,955990,1,2,3,6,At Risk
O00020,C0190,P041,2024-10-15,4,3996,15984,Card,Product_41,Electronics,7853,32,Male,Bangalore,Premium,2024-02-06,-15428,3,13,822819,5,4,3,12,Loyal Customers
O00021,C0380,P019,2024-10-10,1,18090,18090,Net Banking,Product_19,Fashion,45901,56,Male,Chennai,Budget,2024-10-21,-27811,63,14,843995,1,5,3,9,Potential Loyal
O00022,C0152,P020,2024-04-27,2,22618,45236,Net Banking,Product_20,Electronics,4571,63,Male,Pune,Premium,2024-09-24,36094,2,10,822820,5,3,3,11,Loyal Customers
O00023,C0292,P032,2024-12-01,4,37086,148344,Cash,Product_32,Beauty,24985,60,Female,Bangalore,Premium,2024-12-17,48404,30,11,1127888,3,3,4,10,Loyal Customers
O00024,C0132,P098,2024-11-24,4,48419,193676,Net Banking,Product_98,Fashion,19457,60,Female,Chennai,Premium,2024-08-27,115848,37,7,706208,2,1,2,5,At Risk
O00025,C0236,P022,2024-03-12,3,12092,36276,Net Banking,Product_22,Beauty,10967,49,Male,Mumbai,Regular,2024-11-22,3375,17,8,587349,4,2,1,7,Potential Loyal
O00026,C0095,P070,2024-01-18,1,35337,35337,UPI,Product_70,Electronics,25118,19,Male,Bangalore,Premium,2024-10-24,10219,10,14,1434407,4,5,5,14,Champions
O00027,C0484,P086,2024-01-04,1,51091,51091,Net Banking,Product_86,Beauty,2611,40,Female,Chennai,Regular,2024-09-02,48480,57,14,1140808,1,5,4,10,Loyal Customers
O00028,C0071,P081,2024-12-28,2,5454,10908,Card,Product_81,Fashion,25356,22,Male,Hyderabad,Regular,2024-03-08,-39804,3,7,719955,5,1,2,8,Potential Loyal
O00029,C0005,P028,2024-07-10,5,30885,154425,UPI,Product_28,Fashion,14973,56,Male,Hyderabad,Premium,2024-11-28,79560,108,7,724011,1,1,2,4,At Risk
O00030,C0317,P082,2024-12-03,5,32667,163335,Net Banking,Product_82,Beauty,16720,34,Female,Bangalore,Premium,2024-01-04,79735,1,6,577974,5,1,1,7,Potential Loyal
O00031,C0009,P001,2024-07-29,5,37152,185760,UPI,Product_1,Home,1423,24,Male,Pune,Premium,2024-07-02,178645,5,17,1900940,5,5,5,15,Champions
O00032,C0009,P068,2024-05-26,3,36110,108330,UPI,Product_68,Beauty,25040,24,Male,Pune,Premium,2024-07-02,33210,5,17,1900940,5,5,5,15,Champions
O00033,C0258,P090,2024-04-01,4,53833,215332,UPI,Product_90,Electronics,39424,41,Male,Chennai,Premium,2024-08-29,57636,9,19,1676819,4,5,5,14,Champions
O00034,C0471,P013,2024-05-03,5,10758,53790,Card,Product_13,Beauty,15935,38,Female,Mumbai,Regular,2024-12-19,-25885,2,12,1106214,5,4,4,13,Champions
O00035,C0318,P068,2024-06-30,3,54425,163275,Cash,Product_68,Beauty,25040,49,Female,Mumbai,Premium,2024-07-13,88155,51,12,1543948,2,4,5,11,Loyal Customers
O00036,C0408,P051,2024-07-26,1,25448,25448,Net Banking,Product_51,Beauty,4146,20,Male,Chennai,Regular,2024-07-08,21302,50,9,681046,2,2,2,6,At Risk
O00037,C0290,P032,2024-12-16,2,20659,41318,UPI,Product_32,Beauty,24985,44,Female,Pune,Regular,2024-07-31,-8652,15,15,1117859,4,5,4,13,Champions
O00038,C0335,P084,2024-07-26,1,7127,7127,Net Banking,Product_84,Fashion,18564,46,Male,Pune,Regular,2024-11-19,-11437,119,5,180361,1,1,1,3,At Risk
O00039,C0194,P071,2024-11-22,4,4677,18708,UPI,Product_71,Sports,45243,49,Female,Delhi,Budget,2024-01-21,-162264,5,15,921921,5,5,3,13,Champions
O00040,C0360,P022,2024-08-10,1,33758,33758,Cash,Product_22,Beauty,10967,62,Male,Chennai,Regular,2024-01-23,22791,1,13,706134,5,4,2,11,Loyal Customers
O00041,C0290,P013,2024-04-27,5,3788,18940,Card,Product_13,Beauty,15935,44,Female,Pune,Regular,2024-07-31,-60735,15,15,1117859,4,5,4,13,Champions
O00042,C0462,P089,2024-05-18,5,32162,160810,UPI,Product_89,Electronics,4909,43,Female,Hyderabad,Regular,2024-09-16,136265,7,9,859556,5,2,3,10,Loyal Customers
O00043,C0474,P010,2024-10-05,3,59937,179811,UPI,Product_10,Home,31790,31,Female,Chennai,Regular,2024-09-26,84441,14,15,1404592,4,5,5,14,Champions
O00044,C0092,P041,2024-10-27,1,14576,14576,Card,Product_41,Electronics,7853,32,Male,Chennai,Premium,2024-07-23,6723,17,18,1124281,4,5,4,13,Champions
O00045,C0386,P092,2024-06-02,4,6042,24168,Card,Product_92,Electronics,44541,40,Male,Bangalore,Premium,2024-12-02,-153996,2,12,803821,5,4,3,12,Loyal Customers
O00046,C0289,P031,2024-07-18,5,55699,278495,Cash,Product_31,Sports,49503,64,Male,Pune,Regular,2024-04-26,30980,67,12,939317,1,4,3,8,Potential Loyal
O00047,C0197,P097,2024-12-18,2,52806,105612,UPI,Product_97,Sports,9683,19,Female,Hyderabad,Premium,2024-03-30,86246,13,12,1415555,4,4,5,13,Champions
O00048,C0257,P096,2024-02-20,3,4519,13557,Net Banking,Product_96,Electronics,14738,65,Female,Hyderabad,Regular,2024-11-22,-30657,13,11,716363,4,3,2,9,Potential Loyal
O00049,C0119,P010,2024-11-10,3,40660,121980,Net Banking,Product_10,Home,31790,45,Female,Mumbai,Budget,2024-08-31,26610,25,6,596462,3,1,1,5,At Risk
O00050,C0497,P100,2024-11-20,3,2941,8823,Cash,Product_100,Sports,21399,39,Female,Pune,Budget,2024-10-05,-55374,29,12,1364465,3,4,5,12,Loyal Customers
O00051,C0402,P058,2024-07-01,4,15951,63804,Net Banking,Product_58,Home,26448,40,Female,Delhi,Budget,2024-06-29,-41988,80,9,888703,1,2,3,6,At Risk
O00052,C0222,P024,2024-07-13,5,44297,221485,UPI,Product_24,Home,46608,60,Male,Pune,Premium,2024-03-05,-11555,21,10,877106,3,3,3,9,Potential Loyal
O00053,C0396,P080,2024-05-06,3,53301,159903,UPI,Product_80,Sports,28295,43,Female,Pune,Regular,2024-04-05,75018,6,16,1273445,5,5,5,15,Champions
O00054,C0043,P035,2024-12-30,2,25903,51806,Card,Product_35,Fashion,44022,33,Male,Delhi,Regular,2024-01-11,-36238,1,11,607981,5,3,1,9,Potential Loyal
O00055,C0379,P050,2024-02-24,3,24638,73914,UPI,Product_50,Beauty,33947,58,Female,Delhi,Premium,2024-09-12,-27927,38,11,853572,2,3,3,8,Potential Loyal
O00056,C0003,P040,2024-05-18,4,24587,98348,UPI,Product_40,Sports,5618,61,Male,Hyderabad,Regular,2024-01-17,75876,61,12,856505,1,4,3,8,Potential Loyal
O00057,C0068,P012,2024-08-17,2,29244,58488,Net Banking,Product_12,Beauty,17590,63,Female,Mumbai,Regular,2024-07-21,23308,21,17,1335033,3,5,5,13,Champions
O00058,C0053,P004,2024-10-10,1,24194,24194,UPI,Product_4,Sports,12001,46,Male,Pune,Premium,2024-05-22,12193,35,11,1321511,2,3,5,10,Loyal Customers
O00059,C0306,P077,2024-07-16,3,57604,172812,UPI,Product_77,Electronics,727,19,Male,Chennai,Budget,2024-04-20,170631,5,12,1444389,5,4,5,14,Champions
O00060,C0150,P053,2024-02-13,4,52063,208252,Card,Product_53,Beauty,27725,50,Female,Delhi,Regular,2024-09-07,97352,43,10,693800,2,3,2,7,Potential Loyal
O00061,C0293,P067,2024-07-13,2,45912,91824,Card,Product_67,Beauty,9375,48,Male,Delhi,Premium,2024-02-17,73074,32,15,1434462,3,5,5,13,Champions
O00062,C0072,P035,2024-09-09,3,18590,55770,Card,Product_35,Fashion,44022,40,Male,Mumbai,Regular,2024-05-25,-76296,113,10,1106682,1,3,4,8,Potential Loyal
O00063,C0033,P022,2024-08-03,4,19085,76340,Cash,Product_22,Beauty,10967,50,Male,Hyderabad,Premium,2024-11-16,32472,0,9,1063192,5,2,4,11,Loyal Customers
O00064,C0248,P010,2024-05-06,3,17495,52485,Net Banking,Product_10,Home,31790,59,Male,Bangalore,Regular,2024-01-18,-42885,73,9,803282,1,2,3,6,At Risk
O00065,C0305,P079,2024-02-24,2,31006,62012,Card,Product_79,Sports,44638,27,Female,Delhi,Premium,2024-11-20,-27264,6,6,397074,5,1,1,7,Potential Loyal
O00066,C0156,P001,2024-11-13,4,22772,91088,Net Banking,Product_1,Home,1423,33,Female,Hyderabad,Budget,2024-12-08,85396,20,12,1144758,3,4,4,11,Loyal Customers
O00067,C0412,P043,2024-08-08,4,22937,91748,Card,Product_43,Sports,13748,49,Female,Hyderabad,Premium,2024-05-14,36756,22,12,1462042,3,4,5,12,Loyal Customers
O00068,C0154,P042,2024-04-12,5,46566,232830,Net Banking,Product_42,Sports,36390,47,Female,Chennai,Budget,2024-05-17,50880,53,11,1094620,2,3,4,9,Potential Loyal
O00069,C0161,P023,2024-05-29,4,21915,87660,Net Banking,Product_23,Sports,45462,33,Female,Pune,Budget,2024-05-03,-94188,22,14,1582107,3,5,5,13,Champions
O00070,C0496,P074,2024-07-11,2,22357,44714,Cash,Product_74,Beauty,35709,18,Female,Hyderabad,Budget,2024-02-24,-26704,27,10,843738,3,3,3,9,Potential Loyal
O00071,C0419,P051,2024-10-15,3,8463,25389,Card,Product_51,Beauty,4146,25,Male,Mumbai,Premium,2024-09-09,12951,77,9,873230,1,2,3,6,At Risk
O00072,C0304,P070,2024-10-08,2,45676,91352,UPI,Product_70,Electronics,25118,37,Female,Bangalore,Premium,2024-04-02,41116,5,13,718792,5,4,2,11,Loyal Customers
O00073,C0488,P094,2024-04-17,4,47423,189692,Net Banking,Product_94,Beauty,26862,51,Male,Chennai,Premium,2024-01-27,82244,22,13,948053,3,4,3,10,Loyal Customers
O00074,C0409,P038,2024-07-28,1,54671,54671,Net Banking,Product_38,Sports,29778,41,Female,Delhi,Budget,2024-03-11,24893,32,7,604443,3,1,1,5,At Risk
O00075,C0072,P082,2024-05-09,3,16861,50583,Card,Product_82,Beauty,16720,40,Male,Mumbai,Regular,2024-05-25,423,113,10,1106682,1,3,4,8,Potential Loyal
O00076,C0367,P055,2024-08-17,4,5847,23388,Net Banking,Product_55,Beauty,37121,41,Male,Chennai,Budget,2024-03-04,-125096,35,10,912579,2,3,3,8,Potential Loyal
O00077,C0299,P052,2024-12-20,5,34201,171005,Net Banking,Product_52,Sports,9147,27,Female,Mumbai,Premium,2024-06-28,125270,11,7,877573,4,1,3,8,Potential Loyal
O00078,C0279,P005,2024-10-01,3,46982,140946,UPI,Product_5,Beauty,42359,25,Male,Pune,Regular,2024-07-04,13869,15,7,563225,4,1,1,6,At Risk
O00079,C0056,P099,2024-12-06,2,44096,88192,Cash,Product_99,Sports,48440,23,Male,Mumbai,Regular,2024-09-05,-8688,25,8,768181,3,2,2,7,Potential Loyal
O00080,C0086,P083,2024-10-15,5,3903,19515,Net Banking,Product_83,Fashion,23185,33,Male,Bangalore,Budget,2024-07-27,-96410,30,15,1301325,3,5,5,13,Champions
O00081,C0496,P097,2024-08-08,3,53181,159543,UPI,Product_97,Sports,9683,18,Female,Hyderabad,Budget,2024-02-24,130494,27,10,843738,3,3,3,9,Potential Loyal
O00082,C0006,P013,2024-09-18,3,15549,46647,Card,Product_13,Beauty,15935,62,Female,Mumbai,Regular,2024-10-28,-1158,56,10,830905,1,3,3,7,Potential Loyal
O00083,C0229,P048,2024-12-13,4,31347,125388,Card,Product_48,Sports,47483,58,Female,Mumbai,Budget,2024-02-16,-64544,8,9,968263,5,2,3,10,Loyal Customers
O00084,C0177,P004,2024-05-31,4,7851,31404,Net Banking,Product_4,Sports,12001,43,Female,Delhi,Budget,2024-11-18,-16600,14,10,1260166,4,3,5,12,Loyal Customers
O00085,C0472,P011,2024-03-13,1,55481,55481,Cash,Product_11,Electronics,16756,31,Female,Hyderabad,Budget,2024-08-29,38725,25,15,1594511,3,5,5,13,Champions
O00086,C0160,P044,2024-04-15,4,52397,209588,Net Banking,Product_44,Fashion,35670,53,Male,Hyderabad,Premium,2024-02-13,66908,108,12,1610281,1,4,5,10,Loyal Customers
O00087,C0179,P061,2024-12-22,1,29715,29715,Net Banking,Product_61,Beauty,3468,37,Male,Mumbai,Premium,2024-10-12,26247,5,7,721357,5,1,2,8,Potential Loyal
O00088,C0164,P009,2024-12-29,3,3928,11784,UPI,Product_9,Fashion,12609,43,Male,Bangalore,Budget,2024-10-24,-26043,2,8,799939,5,2,3,10,Loyal Customers
O00089,C0012,P044,2024-03-25,1,45377,45377,Card,Product_44,Fashion,35670,36,Female,Hyderabad,Premium,2024-12-26,9707,21,14,1343926,3,5,5,13,Champions
O00090,C0265,P023,2024-06-18,5,11494,57470,Net Banking,Product_23,Sports,45462,44,Male,Pune,Budget,2024-07-27,-169840,101,10,787275,1,3,2,6,At Risk
O00091,C0491,P060,2024-07-26,2,53281,106562,Card,Product_60,Electronics,38400,44,Female,Pune,Budget,2024-04-12,29762,72,15,1358011,1,5,5,11,Loyal Customers
O00092,C0096,P082,2024-01-15,4,26924,107696,Card,Product_82,Beauty,16720,34,Male,Delhi,Budget,2024-08-10,40816,20,11,1041023,3,3,4,10,Loyal Customers
O00093,C0231,P076,2024-01-03,4,26482,105928,Card,Product_76,Fashion,48200,46,Male,Chennai,Regular,2024-01-15,-86872,3,13,1395946,5,4,5,14,Champions
O00094,C0106,P036,2024-02-22,1,38837,38837,Card,Product_36,Sports,16717,43,Male,Bangalore,Regular,2024-04-17,22120,25,9,634778,3,2,2,7,Potential Loyal
O00095,C0188,P042,2024-02-28,2,30986,61972,Cash,Product_42,Sports,36390,61,Male,Bangalore,Budget,2024-10-28,-10808,3,9,920460,5,2,3,10,Loyal Customers
O00096,C0344,P063,2024-06-09,5,42884,214420,Net Banking,Product_63,Electronics,35965,20,Male,Chennai,Regular,2024-08-12,34595,58,8,673757,1,2,2,5,At Risk
O00097,C0313,P051,2024-06-27,5,8486,42430,Cash,Product_51,Beauty,4146,40,Female,Delhi,Regular,2024-12-13,21700,13,11,1403461,4,3,5,12,Loyal Customers
O00098,C0433,P059,2024-12-10,5,12306,61530,Cash,Product_59,Fashion,697,64,Female,Hyderabad,Premium,2024-01-15,58045,21,12,987688,3,4,4,11,Loyal Customers
O00099,C0471,P079,2024-12-10,5,6554,32770,Card,Product_79,Sports,44638,38,Female,Mumbai,Regular,2024-12-19,-190420,2,12,1106214,5,4,4,13,Champions
O00100,C0161,P016,2024-02-29,2,21013,42026,Card,Product_16,Sports,38672,33,Female,Pune,Budget,2024-05-03,-35318,22,14,1582107,3,5,5,13,Champions
O00101,C0192,P089,2024-07-17,2,34477,68954,Net Banking,Product_89,Electronics,4909,36,Female,Delhi,Regular,2024-12-18,59136,68,12,1418307,1,4,5,10,Loyal Customers
O00102,C0306,P018,2024-08-04,5,26146,130730,Card,Product_18,Home,43339,19,Male,Chennai,Budget,2024-04-20,-85965,5,12,1444389,5,4,5,14,Champions
O00103,C0250,P082,2024-11-26,5,46444,232220,Card,Product_82,Beauty,16720,36,Female,Chennai,Regular,2024-03-30,148620,35,9,1358455,2,2,5,9,Potential Loyal
O00104,C0285,P022,2024-03-12,4,19929,79716,Card,Product_22,Beauty,10967,56,Male,Delhi,Premium,2024-05-20,35848,36,9,727659,2,2,2,6,At Risk
O00105,C0162,P058,2024-07-02,5,4513,22565,UPI,Product_58,Home,26448,62,Female,Chennai,Budget,2024-09-08,-109675,20,10,760844,3,3,2,8,Potential Loyal
O00106,C0249,P018,2024-07-15,2,54425,108850,Net Banking,Product_18,Home,43339,55,Female,Chennai,Premium,2024-02-16,22172,5,11,492744,5,3,1,9,Potential Loyal
O00107,C0210,P088,2024-12-29,4,28238,112952,Net Banking,Product_88,Fashion,16272,53,Male,Hyderabad,Regular,2024-02-17,47864,2,10,374653,5,3,1,9,Potential Loyal
O00108,C0251,P022,2024-01-16,1,38053,38053,Card,Product_22,Beauty,10967,30,Male,Hyderabad,Regular,2024-09-28,27086,37,11,585956,2,3,1,6,At Risk
O00109,C0150,P005,2024-10-02,3,15735,47205,Cash,Product_5,Beauty,42359,50,Female,Delhi,Regular,2024-09-07,-79872,43,10,693800,2,3,2,7,Potential Loyal
O00110,C0087,P100,2024-09-10,4,38070,152280,UPI,Product_100,Sports,21399,57,Male,Mumbai,Premium,2024-03-31,66684,26,10,453561,3,3,1,7,Potential Loyal
O00111,C0294,P015,2024-10-05,3,51797,155391,Cash,Product_15,Home,22102,45,Male,Chennai,Budget,2024-07-09,89085,24,12,1062451,3,4,4,11,Loyal Customers
O00112,C0278,P097,2024-08-13,1,50807,50807,Card,Product_97,Sports,9683,21,Male,Chennai,Regular,2024-09-26,41124,27,12,1098435,3,4,4,11,Loyal Customers
O00113,C0218,P014,2024-01-17,2,20510,41020,Net Banking,Product_14,Home,49898,48,Female,Bangalore,Budget,2024-10-05,-58776,40,12,1398523,2,4,5,11,Loyal Customers
O00114,C0135,P045,2024-03-01,1,29774,29774,Card,Product_45,Home,11283,26,Female,Mumbai,Premium,2024-05-13,18491,23,13,1134672,3,4,4,11,Loyal Customers
O00115,C0108,P095,2024-06-28,5,46163,230815,Net Banking,Product_95,Sports,15857,61,Male,Hyderabad,Regular,2024-03-27,151530,50,13,1198393,2,4,4,10,Loyal Customers
O00116,C0085,P079,2024-04-15,2,52435,104870,Card,Product_79,Sports,44638,41,Male,Bangalore,Premium,2024-12-15,15594,45,13,1230382,2,4,5,11,Loyal Customers
O00117,C0413,P008,2024-09-29,5,23991,119955,Cash,Product_8,Electronics,26769,34,Female,Mumbai,Budget,2024-05-26,-13890,50,11,1256923,2,3,5,10,Loyal Customers
O00118,C0306,P069,2024-12-26,2,22210,44420,Cash,Product_69,Beauty,29895,19,Male,Chennai,Budget,2024-04-20,-15370,5,12,1444389,5,4,5,14,Champions
O00119,C0149,P074,2024-09-20,3,57230,171690,UPI,Product_74,Beauty,35709,52,Female,Chennai,Regular,2024-02-05,64563,49,14,844558,2,5,3,10,Loyal Customers
O00120,C0070,P097,2024-05-21,4,4885,19540,Card,Product_97,Sports,9683,18,Female,Hyderabad,Budget,2024-02-21,-19192,44,8,295922,2,2,1,5,At Risk
O00121,C0360,P017,2024-12-30,2,10584,21168,Cash,Product_17,Home,1249,62,Male,Chennai,Regular,2024-01-23,18670,1,13,706134,5,4,2,11,Loyal Customers
O00122,C0425,P032,2024-03-13,4,33077,132308,Cash,Product_32,Beauty,24985,47,Female,Mumbai,Budget,2024-11-23,32368,54,13,1096473,2,4,4,10,Loyal Customers
O00123,C0322,P054,2024-02-08,4,30621,122484,UPI,Product_54,Electronics,37456,54,Female,Hyderabad,Regular,2024-12-29,-27340,50,11,1176106,2,3,4,9,Potential Loyal
O00124,C0207,P066,2024-07-07,3,46528,139584,Net Banking,Product_66,Fashion,27295,31,Female,Hyderabad,Premium,2024-05-27,57699,10,13,753902,4,4,2,10,Loyal Customers
O00125,C0487,P063,2024-01-02,3,39139,117417,UPI,Product_63,Electronics,35965,65,Male,Mumbai,Premium,2024-12-08,9522,11,10,874118,4,3,3,10,Loyal Customers
O00126,C0375,P059,2024-02-02,3,56712,170136,Net Banking,Product_59,Fashion,697,48,Female,Hyderabad,Premium,2024-02-10,168045,26,13,1224470,3,4,5,12,Loyal Customers
O00127,C0112,P055,2024-05-17,2,33421,66842,Cash,Product_55,Beauty,37121,20,Male,Pune,Budget,2024-02-07,-7400,4,11,1108279,5,3,4,12,Loyal Customers
O00128,C0425,P037,2024-10-22,3,36868,110604,Card,Product_37,Sports,5865,47,Female,Mumbai,Budget,2024-11-23,93009,54,13,1096473,2,4,4,10,Loyal Customers
O00129,C0290,P063,2024-12-15,3,59599,178797,UPI,Product_63,Electronics,35965,44,Female,Pune,Regular,2024-07-31,70902,15,15,1117859,4,5,4,13,Champions
O00130,C0024,P013,2024-03-04,4,2067,8268,Card,Product_13,Beauty,15935,52,Female,Chennai,Budget,2024-08-07,-55472,5,12,1671125,5,4,5,14,Champions
O00131,C0226,P059,2024-04-13,1,29036,29036,Card,Product_59,Fashion,697,39,Female,Chennai,Premium,2024-06-17,28339,0,10,910112,5,3,3,11,Loyal Customers
O00132,C0452,P084,2024-05-20,3,11418,34254,UPI,Product_84,Fashion,18564,24,Female,Mumbai,Regular,2024-07-06,-21438,153,5,560161,1,1,1,3,At Risk
O00133,C0336,P047,2024-07-09,3,6401,19203,Card,Product_47,Fashion,8117,37,Female,Hyderabad,Premium,2024-06-29,-5148,20,7,495983,3,1,1,5,At Risk
O00134,C0027,P051,2024-12-24,3,48578,145734,Card,Product_51,Beauty,4146,27,Male,Chennai,Regular,2024-11-01,133296,7,5,677859,5,1,2,8,Potential Loyal
O00135,C0220,P084,2024-02-18,1,47117,47117,UPI,Product_84,Fashion,18564,33,Female,Mumbai,Regular,2024-01-23,28553,10,6,612317,4,1,2,7,Potential Loyal
O00136,C0110,P062,2024-10-30,1,9696,9696,Card,Product_62,Electronics,23079,58,Female,Delhi,Premium,2024-12-10,-13383,19,7,587441,4,1,1,6,At Risk
O00137,C0266,P088,2024-01-05,4,1608,6432,Cash,Product_88,Fashion,16272,35,Male,Chennai,Regular,2024-04-21,-58656,54,8,810552,2,2,3,7,Potential Loyal
O00138,C0419,P016,2024-03-08,4,46484,185936,Net Banking,Product_16,Sports,38672,25,Male,Mumbai,Premium,2024-09-09,31248,77,9,873230,1,2,3,6,At Risk
O00139,C0037,P030,2024-02-22,4,6854,27416,UPI,Product_30,Beauty,10539,21,Male,Hyderabad,Premium,2024-02-13,-14740,9,8,685309,4,2,2,8,Potential Loyal
O00140,C0161,P048,2024-07-14,3,9986,29958,Card,Product_48,Sports,47483,33,Female,Pune,Budget,2024-05-03,-112491,22,14,1582107,3,5,5,13,Champions
O00141,C0329,P087,2024-09-28,2,5483,10966,UPI,Product_87,Electronics,40799,58,Male,Hyderabad,Budget,2024-04-09,-70632,69,8,421491,1,2,1,4,At Risk
O00142,C0313,P084,2024-06-28,2,29842,59684,Card,Product_84,Fashion,18564,40,Female,Delhi,Regular,2024-12-13,22556,13,11,1403461,4,3,5,12,Loyal Customers
O00143,C0322,P096,2024-11-11,2,27981,55962,Net Banking,Product_96,Electronics,14738,54,Female,Hyderabad,Regular,2024-12-29,26486,50,11,1176106,2,3,4,9,Potential Loyal
O00144,C0441,P028,2024-02-21,1,59759,59759,Card,Product_28,Fashion,14973,38,Female,Chennai,Regular,2024-07-23,44786,36,14,1784607,2,5,5,12,Loyal Customers
O00145,C0386,P016,2024-07-15,5,48841,244205,Cash,Product_16,Sports,38672,40,Male,Bangalore,Premium,2024-12-02,50845,2,12,803821,5,4,3,12,Loyal Customers
O00146,C0494,P055,2024-03-12,3,52844,158532,Card,Product_55,Beauty,37121,29,Female,Mumbai,Premium,2024-07-22,47169,44,11,1229894,2,3,5,10,Loyal Customers
O00147,C0142,P083,2024-10-10,1,17263,17263,Cash,Product_83,Fashion,23185,60,Male,Hyderabad,Premium,2024-08-26,-5922,82,7,672261,1,1,2,4,At Risk
O00148,C0399,P089,2024-12-03,1,56567,56567,Cash,Product_89,Electronics,4909,29,Female,Bangalore,Premium,2024-02-10,51658,15,15,1614418,4,5,5,14,Champions
O00149,C0106,P067,2024-04-06,5,34392,171960,Net Banking,Product_67,Beauty,9375,43,Male,Bangalore,Regular,2024-04-17,125085,25,9,634778,3,2,2,7,Potential Loyal
O00150,C0152,P083,2024-05-02,1,52367,52367,Net Banking,Product_83,Fashion,23185,63,Male,Pune,Premium,2024-09-24,29182,2,10,822820,5,3,3,11,Loyal Customers
O00151,C0198,P015,2024-11-22,2,33740,67480,UPI,Product_15,Home,22102,48,Female,Bangalore,Premium,2024-10-26,23276,1,6,887443,5,1,3,9,Potential Loyal
O00152,C0271,P002,2024-03-08,3,21740,65220,Net Banking,Product_2,Sports,19834,58,Male,Delhi,Regular,2024-05-04,5718,7,11,1302795,5,3,5,13,Champions
O00153,C0441,P073,2024-10-06,4,24947,99788,Card,Product_73,Fashion,8274,38,Female,Chennai,Regular,2024-07-23,66692,36,14,1784607,2,5,5,12,Loyal Customers
