order_id,customer_id,product_id,order_date,quantity,unit_price,revenue,profit,payment_method
O00048,C0257,P096,2024-02-20,3,4519,13557,-30657,Net Banking
O00049,C0119,P010,2024-11-10,3,40660,121980,26610,Net Banking
O00050,C0497,P100,2024-11-20,3,2941,8823,-55374,Cash
O00051,C0402,P058,2024-07-01,4,15951,63804,-41988,Net Banking
O00052,C0222,P024,2024-07-13,5,44297,221485,-11555,UPI
O00053,C0396,P080,2024-05-06,3,53301,159903,75018,UPI
O00054,C0043,P035,2024-12-30,2,25903,51806,-36238,Card
O00055,C0379,P050,2024-02-24,3,24638,73914,-27927,UPI
O00056,C0003,P040,2024-05-18,4,24587,98348,75876,UPI
O00057,C0068,P012,2024-08-17,2,29244,58488,23308,Net Banking
O00058,C0053,P004,2024-10-10,1,24194,24194,12193,UPI
O00059,C0306,P077,2024-07-16,3,57604,172812,170631,UPI
O00060,C0150,P053,2024-02-13,4,52063,208252,97352,Card
O00061,C0293,P067,2024-07-13,2,45912,91824,73074,Card
O00062,C0072,P035,2024-09-09,3,18590,55770,-76296,Card
O00063,C0033,P022,2024-08-03,4,19085,76340,32472,Cash
O00064,C0248,P010,2024-05-06,3,17495,52485,-42885,Net Banking
O00065,C0305,P079,2024-02-24,2,31006,62012,-27264,Card
O00066,C0156,P001,2024-11-13,4,22772,91088,85396,Net Banking
O00067,C0412,P043,2024-08-08,4,22937,91748,36756,Card
O00068,C0154,P042,2024-04-12,5,46566,232830,50880,Net Banking
O00069,C0161,P023,2024-05-29,4,21915,87660,-94188,Net Banking
O00070,C0496,P074,2024-07-11,2,22357,44714,-26704,Cash
O00071,C0419,P051,2024-10-15,3,8463,25389,12951,Card
O00072,C0304,P070,2024-10-08,2,45676,91352,41116,UPI
O00073,C0488,P094,2024-04-17,4,47423,189692,82244,Net Banking
O00074,C0409,P038,2024-07-28,1,54671,54671,24893,Net Banking
O00075,C0072,P082,2024-05-09,3,16861,50583,423,Card
O00076,C0367,P055,2024-08-17,4,5847,23388,-125096,Net Banking
O00077,C0299,P052,2024-12-20,5,34201,171005,125270,Net Banking
O00078,C0279,P005,2024-10-01,3,46982,140946,13869,UPI
O00079,C0056,P099,2024-12-06,2,44096,88192,-8688,Cash
O00080,C0086,P083,2024-10-15,5,3903,19515,-96410,Net Banking
O00081,C0496,P097,2024-08-08,3,53181,159543,130494,UPI
O00082,C0006,P013,2024-09-18,3,15549,46647,-1158,Card
O00083,C0229,P048,2024-12-13,4,31347,125388,-64544,Card
O00084,C0177,P004,2024-05-31,4,7851,31404,-16600,Net Banking
O00085,C0472,P011,2024-03-13,1,55481,55481,38725,Cash
O00086,C0160,P044,2024-04-15,4,52397,209588,66908,Net Banking
O00087,C0179,P061,2024-12-22,1,29715,29715,26247,Net Banking
O00088,C0164,P009,2024-12-29,3,3928,11784,-26043,UPI
O00089,C0012,P044,2024-03-25,1,45377,45377,9707,Card
O00090,C0265,P023,2024-06-18,5,11494,57470,-169840,Net Banking
O00091,C0491,P060,2024-07-26,2,53281,106562,29762,Card
O00092,C0096,P082,2024-01-15,4,26924,107696,40816,Card
O00093,C0231,P076,2024-01-03,4,26482,105928,-86872,Card
O00094,C0106,P036,2024-02-22,1,38837,38837,22120,Card
O00095,C0188,P042,2024-02-28,2,30986,61972,-10808,Cash
O00096,C0344,P063,2024-06-09,5,42884,214420,34595,Net Banking
O00097,C0313,P051,2024-06-27,5,8486,42430,21700,Cash
O00098,C0433,P059,2024-12-10,5,12306,61530,58045,Cash
O00099,C0471,P079,2024-12-10,5,6554,32770,-190420,Card
O00100,C0161,P016,2024-02-29,2,21013,42026,-35318,Card
O00101,C0192,P089,2024-07-17,2,34477,68954,59136,Net Banking
O00102,C0306,P018,2024-08-04,5,26146,130730,-85965,Card
O00103,C0250,P082,2024-11-26,5,46444,232220,148620,Card
O00104,C0285,P022,2024-03-12,4,19929,79716,35848,Card
O00105,C0162,P058,2024-07-02,5,4513,22565,-109675,UPI
O00106,C0249,P018,2024-07-15,2,54425,108850,22172,Net Banking
O00107,C0210,P088,2024-12-29,4,28238,112952,47864,Net Banking
O00108,C0251,P022,2024-01-16,1,38053,38053,27086,Card
O00109,C0150,P005,2024-10-02,3,15735,47205,-79872,Cash
O00110,C0087,P100,2024-09-10,4,38070,152280,66684,UPI
O00111,C0294,P015,2024-10-05,3,51797,155391,89085,Cash
O00112,C0278,P097,2024-08-13,1,50807,50807,41124,Card
O00113,C0218,P014,2024-01-17,2,20510,41020,-58776,Net Banking
O00114,C0135,P045,2024-03-01,1,29774,29774,18491,Card
O00115,C0108,P095,2024-06-28,5,46163,230815,151530,Net Banking
O00116,C0085,P079,2024-04-15,2,52435,104870,15594,Card
O00117,C0413,P008,2024-09-29,5,23991,119955,-13890,Cash
O00118,C0306,P069,2024-12-26,2,22210,44420,-15370,Cash
O00119,C0149,P074,2024-09-20,3,57230,171690,64563,UPI
O00120,C0070,P097,2024-05-21,4,4885,19540,-19192,Card
O00121,C0360,P017,2024-12-30,2,10584,21168,18670,Cash
O00122,C0425,P032,2024-03-13,4,33077,132308,32368,Cash
O00123,C0322,P054,2024-02-08,4,30621,122484,-27340,UPI
O00124,C0207,P066,2024-07-07,3,46528,139584,57699,Net Banking
O00125,C0487,P063,2024-01-02,3,39139,117417,9522,UPI
O00126,C0375,P059,2024-02-02,3,56712,170136,168045,Net Banking
O00127,C0112,P055,2024-05-17,2,33421,66842,-7400,Cash
O00128,C0425,P037,2024-10-22,3,36868,110604,93009,Card
O00129,C0290,P063,2024-12-15,3,59599,178797,70902,UPI
O00130,C0024,P013,2024-03-04,4,2067,8268,-55472,Card
O00131,C0226,P059,2024-04-13,1,29036,29036,28339,Card
O00132,C0452,P084,2024-05-20,3,11418,34254,-21438,UPI
O00133,C0336,P047,2024-07-09,3,6401,19203,-5148,Card
O00134,C0027,P051,2024-12-24,3,48578,145734,133296,Card
O00135,C0220,P084,2024-02-18,1,47117,47117,28553,UPI
O00136,C0110,P062,2024-10-30,1,9696,9696,-13383,Card
O00137,C0266,P088,2024-01-05,4,1608,6432,-58656,Cash
O00138,C0419,P016,2024-03-08,4,46484,185936,31248,Net Banking
O00139,C0037,P030,2024-02-22,4,6854,27416,-14740,UPI
O00140,C0161,P048,2024-07-14,3,9986,29958,-112491,Card
O00141,C0329,P087,2024-09-28,2,5483,10966,-70632,UPI
O00142,C0313,P084,2024-06-28,2,29842,59684,22556,Card
O00143,C0322,P096,2024-11-11,2,27981,55962,26486,Net Banking
O00144,C0441,P028,2024-02-21,1,59759,59759,44786,Card
O00145,C0386,P016,2024-07-15,5,48841,244205,50845,Cash
O00146,C0494,P055,2024-03-12,3,52844,158532,47169,Card
O00147,C0142,P083,2024-10-10,1,17263,17263,-5922,Cash
O00148,C0399,P089,2024-12-03,1,56567,56567,51658,Cash
O00149,C0106,P067,2024-04-06,5,34392,171960,125085,Net Banking
O00150,C0152,P083,2024-05-02,1,52367,52367,29182,Net Banking
O00151,C0198,P015,2024-11-22,2,33740,67480,23276,UPI
O00152,C0271,P002,2024-03-08,3,21740,65220,5718,Net Banking
O00153,C0441,P073,2024-10-06,4,24947,99788,66692,Card
O00154,C0391,P061,2024-10-27,1,2093,2093,-1375,UPI
O00155,C0008,P034,2024-01-31,2,3610,7220,-55492,Net Banking
O00156,C0260,P037,2024-07-31,5,51273,256365,227040,Net Banking
O00157,C0360,P052,2024-10-01,1,42978,42978,33831,Card
O00158,C0143,P011,2024-09-18,3,6178,18534,-31734,Card
O00159,C0499,P020,2024-07-19,5,22413,112065,89210,UPI
O00160,C0159,P090,2024-05-02,4,48838,195352,37656,UPI
O00161,C0126,P012,2024-08-20,4,8601,34404,-35956,UPI
O00162,C0159,P086,2024-01-07,2,8827,17654,12432,Card
O00163,C0360,P002,2024-06-26,2,33532,67064,27396,Cash
O00164,C0086,P048,2024-05-17,2,50137,100274,5308,UPI
O00165,C0395,P004,2024-08-07,3,53894,161682,125679,Cash
O00166,C0269,P009,2024-10-22,3,47682,143046,105219,UPI
O00167,C0255,P059,2024-01-29,5,24601,123005,119520,Net Banking
O00168,C0440,P073,2024-03-21,2,25096,50192,33644,Cash
O00169,C0396,P014,2024-02-29,5,45179,225895,-23595,Card
O00170,C0380,P066,2024-01-07,1,3886,3886,-23409,Card
O00171,C0024,P061,2024-03-17,3,26098,78294,67890,Card
O00172,C0477,P005,2024-12-31,5,53632,268160,56365,Net Banking
O00173,C0115,P042,2024-06-12,2,28279,56558,-16222,Cash
O00174,C0423,P010,2024-03-02,5,25432,127160,-31790,UPI
O00175,C0092,P029,2024-07-24,5,4009,20045,-26220,UPI
O00176,C0450,P060,2024-06-08,3,51693,155079,39879,Cash
O00177,C0045,P071,2024-07-07,4,1522,6088,-174884,Card
O00178,C0150,P073,2024-11-14,3,49468,148404,123582,Card
O00179,C0238,P048,2024-04-10,5,33332,166660,-70755,Card
O00180,C0078,P001,2024-04-29,4,2566,10264,4572,Cash
O00181,C0326,P089,2024-01-01,1,22955,22955,18046,Net Banking
O00182,C0435,P095,2024-04-15,3,7812,23436,-24135,Card
O00183,C0215,P063,2024-12-30,1,10330,10330,-25635,Cash
O00184,C0048,P006,2024-09-23,2,59804,119608,62550,Net Banking
O00185,C0359,P048,2024-02-13,4,50014,200056,10124,UPI
O00186,C0259,P018,2024-10-30,4,5904,23616,-149740,UPI
O00187,C0223,P085,2024-05-29,2,16517,33034,-62996,Cash
O00188,C0436,P041,2024-06-16,4,46922,187688,156276,Cash
O00189,C0232,P035,2024-04-13,2,5894,11788,-76256,Card
O00190,C0400,P099,2024-03-20,5,8141,40705,-201495,UPI
O00191,C0085,P058,2024-07-27,4,21580,86320,-19472,UPI
O00192,C0275,P046,2024-06-06,2,30616,61232,-7970,Net Banking
O00193,C0136,P016,2024-12-17,1,11329,11329,-27343,Cash
O00194,C0424,P091,2024-04-20,5,3643,18215,-130570,Cash
O00195,C0076,P012,2024-07-21,2,24313,48626,13446,UPI
O00196,C0347,P039,2024-03-30,3,54745,164235,24369,UPI
O00197,C0488,P052,2024-10-08,4,37434,149736,113148,Card
O00198,C0049,P060,2024-03-12,1,53684,53684,15284,UPI
O00199,C0007,P008,2024-04-11,2,9566,19132,-34406,Net Banking
O00200,C0191,P088,2024-10-27,1,39163,39163,22891,Cash
O00201,C0470,P010,2024-04-11,1,5225,5225,-26565,Net Banking
O00202,C0415,P017,2024-06-18,1,56527,56527,55278,UPI
O00203,C0022,P060,2024-10-20,1,12009,12009,-26391,Net Banking
O00204,C0421,P093,2024-01-16,4,33514,134056,67904,Net Banking
O00205,C0350,P055,2024-04-19,2,24196,48392,-25850,Card
O00206,C0141,P036,2024-03-17,4,58896,235584,168716,UPI
O00207,C0315,P080,2024-11-27,5,17107,85535,-55940,Cash
O00208,C0256,P053,2024-02-01,5,32393,161965,23340,UPI
O00209,C0144,P050,2024-04-12,2,28474,56948,-10946,Card
O00210,C0323,P070,2024-12-31,1,26067,26067,949,Cash
O00211,C0246,P070,2024-10-16,4,23546,94184,-6288,Cash
O00212,C0199,P035,2024-06-12,2,2708,5416,-82628,Card
O00213,C0016,P100,2024-08-29,3,4839,14517,-49680,Cash
O00214,C0393,P075,2024-02-21,2,11461,22922,-47394,Card
O00215,C0337,P031,2024-01-29,3,35975,107925,-40584,Card
O00216,C0295,P050,2024-03-29,3,55999,167997,66156,Card
O00217,C0122,P076,2024-12-23,3,53835,161505,16905,Cash
O00218,C0468,P076,2024-12-24,1,47101,47101,-1099,Cash
O00219,C0486,P073,2024-10-15,5,10312,51560,10190,Card
O00220,C0429,P064,2024-03-30,5,21254,106270,81155,Net Banking
O00221,C0020,P012,2024-11-04,1,16245,16245,-1345,Card
O00222,C0011,P068,2024-06-18,4,1044,4176,-95984,Card
O00223,C0413,P017,2024-03-31,3,47985,143955,140208,Cash
O00224,C0031,P003,2024-12-26,2,39444,78888,-10506,Card
O00225,C0397,P015,2024-07-05,5,57404,287020,176510,UPI
O00226,C0192,P091,2024-02-21,4,39405,157620,38592,Cash
O00227,C0155,P042,2024-08-11,2,11322,22644,-50136,Net Banking
O00228,C0333,P041,2024-10-14,2,47345,94690,78984,Cash
O00229,C0115,P086,2024-03-30,5,54376,271880,258825,Net Banking
O00230,C0158,P094,2024-03-31,3,9345,28035,-52551,UPI
O00231,C0486,P090,2024-10-17,5,26663,133315,-63805,UPI
O00232,C0094,P078,2024-11-09,3,54005,162015,101856,Card
O00233,C0328,P073,2024-03-13,1,33517,33517,25243,Cash
O00234,C0382,P010,2024-06-12,2,23728,47456,-16124,Card
O00235,C0326,P012,2024-01-06,3,30270,90810,38040,Cash
O00236,C0108,P032,2024-05-11,1,23969,23969,-1016,UPI
O00237,C0369,P001,2024-08-12,1,26292,26292,24869,Net Banking
O00238,C0497,P022,2024-07-12,4,33314,133256,89388,Cash
O00239,C0280,P049,2024-09-02,1,55316,55316,22781,Card
O00240,C0084,P058,2024-01-18,1,53376,53376,26928,Cash
O00241,C0011,P041,2024-02-07,3,7863,23589,30,Cash
O00242,C0088,P049,2024-02-08,2,48971,97942,32872,UPI
O00243,C0174,P077,2024-09-04,5,59538,297690,294055,UPI
O00244,C0221,P084,2024-08-10,2,40801,81602,44474,Card
O00245,C0028,P013,2024-04-07,3,14470,43410,-4395,Net Banking
O00246,C0357,P071,2024-12-04,5,18384,91920,-134295,Cash
O00247,C0153,P031,2024-07-20,1,4252,4252,-45251,Net Banking
O00248,C0079,P007,2024-08-06,3,1250,3750,-62223,UPI
O00249,C0151,P085,2024-04-12,5,32478,162390,-77685,UPI
O00250,C0014,P027,2024-05-29,2,42824,85648,36474,UPI
O00251,C0243,P015,2024-07-22,3,52437,157311,91005,Net Banking
O00252,C0251,P085,2024-11-24,3,6972,20916,-123129,Net Banking
O00253,C0095,P048,2024-04-05,4,25209,100836,-89096,Net Banking
O00254,C0023,P034,2024-05-14,4,31478,125912,488,Card
O00255,C0429,P035,2024-03-18,5,5039,25195,-194915,UPI
O00256,C0044,P086,2024-10-04,3,53964,161892,154059,Net Banking
O00257,C0498,P097,2024-10-10,5,15910,79550,31135,UPI
O00258,C0431,P050,2024-10-01,5,28435,142175,-27560,Net Banking
O00259,C0294,P031,2024-02-10,4,20585,82340,-115672,Net Banking
O00260,C0463,P092,2024-10-19,1,33905,33905,-10636,Card
O00261,C0062,P097,2024-03-26,4,12329,49316,10584,Card
O00262,C0414,P025,2024-08-04,2,3796,7592,-83884,UPI
O00263,C0350,P056,2024-11-17,2,54907,109814,20634,Card
O00264,C0428,P077,2024-02-04,3,21955,65865,63684,UPI
O00265,C0199,P072,2024-06-15,4,37179,148716,111856,Cash
O00266,C0267,P059,2024-12-24,1,52547,52547,51850,Net Banking
O00267,C0058,P054,2024-10-17,2,10712,21424,-53488,UPI
O00268,C0474,P014,2024-02-21,5,52088,260440,10950,Cash
O00269,C0445,P069,2024-07-29,3,58533,175599,85914,Cash
O00270,C0197,P084,2024-11-07,4,38488,153952,79696,Net Banking
O00271,C0020,P023,2024-03-14,3,27409,82227,-54159,Net Banking
O00272,C0020,P051,2024-05-01,3,46253,138759,126321,UPI
O00273,C0382,P061,2024-07-09,3,59787,179361,168957,UPI
O00274,C0173,P039,2024-09-08,3,19372,58116,-81750,UPI
O00275,C0498,P030,2024-08-14,2,20692,41384,20306,Cash
O00276,C0138,P094,2024-11-26,4,40647,162588,55140,UPI
O00277,C0097,P057,2024-07-27,2,54999,109998,14198,Net Banking
O00278,C0389,P067,2024-01-29,3,54806,164418,136293,Card
O00279,C0034,P040,2024-03-10,5,27436,137180,109090,UPI
O00280,C0089,P025,2024-01-30,2,55852,111704,20228,Card
O00281,C0017,P059,2024-12-26,1,24617,24617,23920,Card
O00282,C0141,P048,2024-07-22,4,34103,136412,-53520,UPI
O00283,C0349,P004,2024-09-07,2,25409,50818,26816,Net Banking
O00284,C0091,P061,2024-06-28,5,37132,185660,168320,Cash
O00285,C0084,P034,2024-01-15,1,19682,19682,-11674,Net Banking
O00286,C0026,P021,2024-04-19,5,52106,260530,105530,Card
O00287,C0332,P029,2024-11-29,2,18634,37268,18762,Net Banking
O00288,C0263,P003,2024-03-08,1,32070,32070,-12627,Card
O00289,C0308,P002,2024-11-07,2,17540,35080,-4588,Cash
O00290,C0365,P091,2024-07-11,3,28774,86322,-2949,Cash
O00291,C0236,P033,2024-06-03,2,31585,63170,-29834,Net Banking
O00292,C0300,P014,2024-12-05,1,34522,34522,-15376,Cash
O00293,C0288,P083,2024-05-24,5,40914,204570,88645,Cash
O00294,C0351,P014,2024-06-21,4,5183,20732,-178860,Cash
O00295,C0328,P042,2024-12-01,3,18114,54342,-54828,Cash
O00296,C0097,P020,2024-05-03,5,51166,255830,232975,UPI
O00297,C0413,P077,2024-06-12,4,44288,177152,174244,Card
O00298,C0370,P004,2024-05-12,4,20372,81488,33484,Net Banking
O00299,C0208,P050,2024-12-28,1,39209,39209,5262,Card
O00300,C0176,P093,2024-09-30,2,45978,91956,58880,Net Banking
O00301,C0465,P086,2024-06-02,3,34247,102741,94908,Card
O00302,C0431,P085,2024-05-30,5,12870,64350,-175725,UPI
O00303,C0242,P017,2024-10-13,3,48525,145575,141828,Card
O00304,C0485,P088,2024-02-15,3,43889,131667,82851,Card
O00305,C0182,P029,2024-06-18,3,28556,85668,57909,Cash
O00306,C0134,P075,2024-03-01,3,31393,94179,-11295,Net Banking
O00307,C0028,P082,2024-11-13,5,39031,195155,111555,UPI
O00308,C0242,P025,2024-12-14,5,8852,44260,-184430,Net Banking
O00309,C0272,P039,2024-03-18,4,4543,18172,-168316,Card
O00310,C0103,P044,2024-08-22,4,38316,153264,10584,Card
O00311,C0162,P092,2024-02-11,2,52048,104096,15014,Net Banking
O00312,C0171,P081,2024-11-20,2,21539,43078,-7634,UPI
O00313,C0003,P058,2024-03-27,3,14722,44166,-35178,Card
O00314,C0251,P098,2024-11-10,1,9480,9480,-9977,Net Banking
O00315,C0325,P055,2024-09-01,4,29116,116464,-32020,Net Banking
O00316,C0003,P005,2024-07-10,5,14068,70340,-141455,UPI
O00317,C0457,P042,2024-01-10,5,13489,67445,-114505,UPI
O00318,C0321,P094,2024-12-21,2,15828,31656,-22068,Cash
O00319,C0160,P017,2024-09-14,1,26136,26136,24887,Cash
O00320,C0086,P009,2024-05-28,1,20542,20542,7933,Net Banking
O00321,C0373,P067,2024-06-21,5,35348,176740,129865,Net Banking
O00322,C0455,P088,2024-09-07,2,23461,46922,14378,Cash
O00323,C0385,P025,2024-07-25,2,54215,108430,16954,UPI
O00324,C0117,P029,2024-01-12,2,14840,29680,11174,Card
O00325,C0064,P047,2024-11-23,1,25588,25588,17471,Cash
O00326,C0395,P069,2024-10-31,5,4184,20920,-128555,UPI
O00327,C0339,P014,2024-12-19,1,4161,4161,-45737,UPI
O00328,C0214,P057,2024-10-07,4,9099,36396,-155204,Cash
O00329,C0243,P090,2024-12-21,2,14467,28934,-49914,UPI
O00330,C0155,P054,2024-09-23,1,44416,44416,6960,Cash
O00331,C0319,P078,2024-02-23,2,28448,56896,16790,UPI
O00332,C0145,P015,2024-04-11,1,33619,33619,11517,Card
O00333,C0399,P034,2024-07-02,5,14216,71080,-85700,Net Banking
O00334,C0152,P021,2024-09-11,1,36922,36922,5922,Card
O00335,C0353,P062,2024-01-02,3,16368,49104,-20133,UPI
O00336,C0344,P012,2024-10-20,1,55737,55737,38147,Net Banking
O00337,C0077,P012,2024-02-21,5,5918,29590,-58360,Cash
O00338,C0330,P030,2024-05-15,4,20400,81600,39444,Net Banking
O00339,C0026,P013,2024-01-21,2,58287,116574,84704,Cash
O00340,C0185,P087,2024-02-29,3,28918,86754,-35643,UPI
O00341,C0436,P098,2024-03-11,1,1633,1633,-17824,Card
O00342,C0169,P046,2024-05-17,4,41750,167000,28596,UPI
O00343,C0191,P044,2024-07-24,2,8460,16920,-54420,Net Banking
O00344,C0493,P059,2024-07-16,3,55768,167304,165213,Net Banking
O00345,C0410,P054,2024-03-08,2,8409,16818,-58094,UPI
O00346,C0483,P021,2024-10-29,1,28264,28264,-2736,Net Banking
O00347,C0411,P073,2024-11-08,4,12879,51516,18420,Net Banking
O00348,C0399,P046,2024-12-16,5,2888,14440,-158565,Card
O00349,C0248,P063,2024-07-29,1,59169,59169,23204,Net Banking
O00350,C0024,P009,2024-06-09,3,43924,131772,93945,UPI
O00351,C0361,P087,2024-10-22,5,51300,256500,52505,Card
O00352,C0490,P086,2024-09-24,3,35019,105057,97224,UPI
O00353,C0222,P085,2024-06-26,2,32583,65166,-30864,Net Banking
O00354,C0077,P072,2024-01-06,5,4576,22880,-23195,Card
O00355,C0259,P061,2024-03-25,4,57978,231912,218040,UPI
O00356,C0385,P063,2024-06-18,3,16787,50361,-57534,Cash
O00357,C0026,P065,2024-11-25,2,37077,74154,68996,Net Banking
O00358,C0207,P031,2024-08-15,1,31087,31087,-18416,Net Banking
O00359,C0046,P064,2024-03-01,4,21713,86852,66760,Net Banking
O00360,C0382,P084,2024-07-25,1,7726,7726,-10838,Net Banking
O00361,C0019,P072,2024-02-16,5,1011,5055,-41020,Cash
O00362,C0456,P066,2024-12-01,5,14556,72780,-63695,Net Banking
O00363,C0487,P044,2024-01-28,3,55087,165261,58251,Card
O00364,C0433,P059,2024-11-13,3,37710,113130,111039,Net Banking
O00365,C0367,P085,2024-08-19,3,47918,143754,-291,UPI
O00366,C0050,P098,2024-06-23,2,1143,2286,-36628,Cash
O00367,C0425,P082,2024-09-24,3,36893,110679,60519,Cash
O00368,C0360,P014,2024-03-25,1,59777,59777,9879,Net Banking
O00369,C0072,P092,2024-05-10,4,8009,32036,-146128,Card
O00370,C0097,P016,2024-08-22,4,15128,60512,-94176,Card
O00371,C0367,P044,2024-07-31,1,50620,50620,14950,UPI
O00372,C0475,P082,2024-08-18,5,9075,45375,-38225,Net Banking
O00373,C0338,P076,2024-09-12,5,9823,49115,-191885,UPI
O00374,C0272,P095,2024-08-09,1,37256,37256,21399,Net Banking
O00375,C0474,P066,2024-10-23,2,46338,92676,38086,Card
O00376,C0375,P017,2024-12-02,1,26389,26389,25140,Cash
O00377,C0259,P050,2024-12-20,4,40911,163644,27856,Card
O00378,C0141,P051,2024-08-19,3,20278,60834,48396,Card
O00379,C0071,P053,2024-09-19,5,46876,234380,95755,Cash
O00380,C0432,P090,2024-06-09,5,57407,287035,89915,Card
O00381,C0103,P027,2024-05-28,5,47817,239085,116150,Cash
O00382,C0472,P087,2024-11-28,2,47556,95112,13514,Card
O00383,C0258,P070,2024-02-29,3,47553,142659,67305,Cash
O00384,C0288,P062,2024-12-07,5,38397,191985,76590,Net Banking
O00385,C0346,P096,2024-08-04,5,19738,98690,25000,UPI
O00386,C0268,P014,2024-03-15,1,25960,25960,-23938,UPI
O00387,C0344,P008,2024-03-23,2,18496,36992,-16546,Cash
O00388,C0350,P033,2024-02-01,2,56009,112018,19014,Cash
O00389,C0105,P097,2024-07-02,5,3117,15585,-32830,Net Banking
O00390,C0053,P079,2024-04-24,5,57678,288390,65200,Net Banking
O00391,C0122,P066,2024-12-06,3,46412,139236,57351,UPI
O00392,C0475,P049,2024-12-16,4,28300,113200,-16940,Cash
O00393,C0495,P071,2024-05-08,1,1849,1849,-43394,Card
O00394,C0318,P100,2024-04-25,4,55393,221572,135976,Cash
O00395,C0387,P076,2024-11-04,5,49395,246975,5975,Card
O00396,C0398,P093,2024-08-17,2,20279,40558,7482,Card
O00397,C0350,P010,2024-09-20,2,12389,24778,-38802,UPI
O00398,C0194,P006,2024-10-11,4,19291,77164,-36952,Cash
O00399,C0067,P021,2024-05-10,5,56444,282220,127220,UPI
O00400,C0170,P060,2024-03-19,2,3617,7234,-69566,Cash
O00401,C0306,P007,2024-12-04,5,56256,281280,171325,Cash
O00402,C0252,P074,2024-02-07,5,24467,122335,-56210,Cash
O00403,C0270,P029,2024-02-04,2,35118,70236,51730,Card
O00404,C0213,P070,2024-02-17,5,27438,137190,11600,Cash
O00405,C0114,P028,2024-07-03,3,22696,68088,23169,Cash
O00406,C0112,P097,2024-08-31,5,35766,178830,130415,UPI
O00407,C0059,P086,2024-05-03,3,30207,90621,82788,Card
O00408,C0491,P006,2024-02-28,3,25993,77979,-7608,Net Banking
O00409,C0132,P070,2024-09-21,3,2619,7857,-67497,Cash
O00410,C0264,P066,2024-01-23,4,32903,131612,22432,Cash
O00411,C0460,P084,2024-09-20,2,21992,43984,6856,UPI
O00412,C0486,P013,2024-10-02,2,51680,103360,71490,UPI
O00413,C0321,P009,2024-11-18,2,44931,89862,64644,Card
