order_id,customer_id,product_id,order_date,quantity,unit_price,revenue,payment_method,product_name,category,cost,age,gender,city,customer_segment,signup_date,profit
O00043,C0474,P010,2024-10-05,3,59937,179811,UPI,Product_10,Home,31790,31,Female,Chennai,Regular,2024-09-26,84441
O00044,C0092,P041,2024-10-27,1,14576,14576,Card,Product_41,Electronics,7853,32,Male,Chennai,Premium,2024-07-23,6723
O00045,C0386,P092,2024-06-02,4,6042,24168,Card,Product_92,Electronics,44541,40,Male,Bangalore,Premium,2024-12-02,-153996
O00046,C0289,P031,2024-07-18,5,55699,278495,Cash,Product_31,Sports,49503,64,Male,Pune,Regular,2024-04-26,30980
O00047,C0197,P097,2024-12-18,2,52806,105612,UPI,Product_97,Sports,9683,19,Female,Hyderabad,Premium,2024-03-30,86246
O00048,C0257,P096,2024-02-20,3,4519,13557,Net Banking,Product_96,Electronics,14738,65,Female,Hyderabad,Regular,2024-11-22,-30657
O00049,C0119,P010,2024-11-10,3,40660,121980,Net Banking,Product_10,Home,31790,45,Female,Mumbai,Budget,2024-08-31,26610
O00050,C0497,P100,2024-11-20,3,2941,8823,Cash,Product_100,Sports,21399,39,Female,Pune,Budget,2024-10-05,-55374
O00051,C0402,P058,2024-07-01,4,15951,63804,Net Banking,Product_58,Home,26448,40,Female,Delhi,Budget,2024-06-29,-41988
O00052,C0222,P024,2024-07-13,5,44297,221485,UPI,Product_24,Home,46608,60,Male,Pune,Premium,2024-03-05,-11555
O00053,C0396,P080,2024-05-06,3,53301,159903,UPI,Product_80,Sports,28295,43,Female,Pune,Regular,2024-04-05,75018
O00054,C0043,P035,2024-12-30,2,25903,51806,Card,Product_35,Fashion,44022,33,Male,Delhi,Regular,2024-01-11,-36238
O00055,C0379,P050,2024-02-24,3,24638,73914,UPI,Product_50,Beauty,33947,58,Female,Delhi,Premium,2024-09-12,-27927
O00056,C0003,P040,2024-05-18,4,24587,98348,UPI,Product_40,Sports,5618,61,Male,Hyderabad,Regular,2024-01-17,75876
O00057,C0068,P012,2024-08-17,2,29244,58488,Net Banking,Product_12,Beauty,17590,63,Female,Mumbai,Regular,2024-07-21,23308
O00058,C0053,P004,2024-10-10,1,24194,24194,UPI,Product_4,Sports,12001,46,Male,Pune,Premium,2024-05-22,12193
O00059,C0306,P077,2024-07-16,3,57604,172812,UPI,Product_77,Electronics,727,19,Male,Chennai,Budget,2024-04-20,170631
O00060,C0150,P053,2024-02-13,4,52063,208252,Card,Product_53,Beauty,27725,50,Female,Delhi,Regular,2024-09-07,97352
O00061,C0293,P067,2024-07-13,2,45912,91824,Card,Product_67,Beauty,9375,48,Male,Delhi,Premium,2024-02-17,73074
O00062,C0072,P035,2024-09-09,3,18590,55770,Card,Product_35,Fashion,44022,40,Male,Mumbai,Regular,2024-05-25,-76296
O00063,C0033,P022,2024-08-03,4,19085,76340,Cash,Product_22,Beauty,10967,50,Male,Hyderabad,Premium,2024-11-16,32472
O00064,C0248,P010,2024-05-06,3,17495,52485,Net Banking,Product_10,Home,31790,59,Male,Bangalore,Regular,2024-01-18,-42885
O00065,C0305,P079,2024-02-24,2,31006,62012,Card,Product_79,Sports,44638,27,Female,Delhi,Premium,2024-11-20,-27264
O00066,C0156,P001,2024-11-13,4,22772,91088,Net Banking,Product_1,Home,1423,33,Female,Hyderabad,Budget,2024-12-08,85396
O00067,C0412,P043,2024-08-08,4,22937,91748,Card,Product_43,Sports,13748,49,Female,Hyderabad,Premium,2024-05-14,36756
O00068,C0154,P042,2024-04-12,5,46566,232830,Net Banking,Product_42,Sports,36390,47,Female,Chennai,Budget,2024-05-17,50880
O00069,C0161,P023,2024-05-29,4,21915,87660,Net Banking,Product_23,Sports,45462,33,Female,Pune,Budget,2024-05-03,-94188
O00070,C0496,P074,2024-07-11,2,22357,44714,Cash,Product_74,Beauty,35709,18,Female,Hyderabad,Budget,2024-02-24,-26704
O00071,C0419,P051,2024-10-15,3,8463,25389,Card,Product_51,Beauty,4146,25,Male,Mumbai,Premium,2024-09-09,12951
O00072,C0304,P070,2024-10-08,2,45676,91352,UPI,Product_70,Electronics,25118,37,Female,Bangalore,Premium,2024-04-02,41116
O00073,C0488,P094,2024-04-17,4,47423,189692,Net Banking,Product_94,Beauty,26862,51,Male,Chennai,Premium,2024-01-27,82244
O00074,C0409,P038,2024-07-28,1,54671,54671,Net Banking,Product_38,Sports,29778,41,Female,Delhi,Budget,2024-03-11,24893
O00075,C0072,P082,2024-05-09,3,16861,50583,Card,Product_82,Beauty,16720,40,Male,Mumbai,Regular,2024-05-25,423
O00076,C0367,P055,2024-08-17,4,5847,23388,Net Banking,Product_55,Beauty,37121,41,Male,Chennai,Budget,2024-03-04,-125096
O00077,C0299,P052,2024-12-20,5,34201,171005,Net Banking,Product_52,Sports,9147,27,Female,Mumbai,Premium,2024-06-28,125270
O00078,C0279,P005,2024-10-01,3,46982,140946,UPI,Product_5,Beauty,42359,25,Male,Pune,Regular,2024-07-04,13869
O00079,C0056,P099,2024-12-06,2,44096,88192,Cash,Product_99,Sports,48440,23,Male,Mumbai,Regular,2024-09-05,-8688
O00080,C0086,P083,2024-10-15,5,3903,19515,Net Banking,Product_83,Fashion,23185,33,Male,Bangalore,Budget,2024-07-27,-96410
O00081,C0496,P097,2024-08-08,3,53181,159543,UPI,Product_97,Sports,9683,18,Female,Hyderabad,Budget,2024-02-24,130494
O00082,C0006,P013,2024-09-18,3,15549,46647,Card,Product_13,Beauty,15935,62,Female,Mumbai,Regular,2024-10-28,-1158
O00083,C0229,P048,2024-12-13,4,31347,125388,Card,Product_48,Sports,47483,58,Female,Mumbai,Budget,2024-02-16,-64544
O00084,C0177,P004,2024-05-31,4,7851,31404,Net Banking,Product_4,Sports,12001,43,Female,Delhi,Budget,2024-11-18,-16600
O00085,C0472,P011,2024-03-13,1,55481,55481,Cash,Product_11,Electronics,16756,31,Female,Hyderabad,Budget,2024-08-29,38725
O00086,C0160,P044,2024-04-15,4,52397,209588,Net Banking,Product_44,Fashion,35670,53,Male,Hyderabad,Premium,2024-02-13,66908
O00087,C0179,P061,2024-12-22,1,29715,29715,Net Banking,Product_61,Beauty,3468,37,Male,Mumbai,Premium,2024-10-12,26247
O00088,C0164,P009,2024-12-29,3,3928,11784,UPI,Product_9,Fashion,12609,43,Male,Bangalore,Budget,2024-10-24,-26043
O00089,C0012,P044,2024-03-25,1,45377,45377,Card,Product_44,Fashion,35670,36,Female,Hyderabad,Premium,2024-12-26,9707
O00090,C0265,P023,2024-06-18,5,11494,57470,Net Banking,Product_23,Sports,45462,44,Male,Pune,Budget,2024-07-27,-169840
O00091,C0491,P060,2024-07-26,2,53281,106562,Card,Product_60,Electronics,38400,44,Female,Pune,Budget,2024-04-12,29762
O00092,C0096,P082,2024-01-15,4,26924,107696,Card,Product_82,Beauty,16720,34,Male,Delhi,Budget,2024-08-10,40816
O00093,C0231,P076,2024-01-03,4,26482,105928,Card,Product_76,Fashion,48200,46,Male,Chennai,Regular,2024-01-15,-86872
O00094,C0106,P036,2024-02-22,1,38837,38837,Card,Product_36,Sports,16717,43,Male,Bangalore,Regular,2024-04-17,22120
O00095,C0188,P042,2024-02-28,2,30986,61972,Cash,Product_42,Sports,36390,61,Male,Bangalore,Budget,2024-10-28,-10808
O00096,C0344,P063,2024-06-09,5,42884,214420,Net Banking,Product_63,Electronics,35965,20,Male,Chennai,Regular,2024-08-12,34595
O00097,C0313,P051,2024-06-27,5,8486,42430,Cash,Product_51,Beauty,4146,40,Female,Delhi,Regular,2024-12-13,21700
O00098,C0433,P059,2024-12-10,5,12306,61530,Cash,Product_59,Fashion,697,64,Female,Hyderabad,Premium,2024-01-15,58045
O00099,C0471,P079,2024-12-10,5,6554,32770,Card,Product_79,Sports,44638,38,Female,Mumbai,Regular,2024-12-19,-190420
O00100,C0161,P016,2024-02-29,2,21013,42026,Card,Product_16,Sports,38672,33,Female,Pune,Budget,2024-05-03,-35318
O00101,C0192,P089,2024-07-17,2,34477,68954,Net Banking,Product_89,Electronics,4909,36,Female,Delhi,Regular,2024-12-18,59136
O00102,C0306,P018,2024-08-04,5,26146,130730,Card,Product_18,Home,43339,19,Male,Chennai,Budget,2024-04-20,-85965
O00103,C0250,P082,2024-11-26,5,46444,232220,Card,Product_82,Beauty,16720,36,Female,Chennai,Regular,2024-03-30,148620
O00104,C0285,P022,2024-03-12,4,19929,79716,Card,Product_22,Beauty,10967,56,Male,Delhi,Premium,2024-05-20,35848
O00105,C0162,P058,2024-07-02,5,4513,22565,UPI,Product_58,Home,26448,62,Female,Chennai,Budget,2024-09-08,-109675
O00106,C0249,P018,2024-07-15,2,54425,108850,Net Banking,Product_18,Home,43339,55,Female,Chennai,Premium,2024-02-16,22172
O00107,C0210,P088,2024-12-29,4,28238,112952,Net Banking,Product_88,Fashion,16272,53,Male,Hyderabad,Regular,2024-02-17,47864
O00108,C0251,P022,2024-01-16,1,38053,38053,Card,Product_22,Beauty,10967,30,Male,Hyderabad,Regular,2024-09-28,27086
O00109,C0150,P005,2024-10-02,3,15735,47205,Cash,Product_5,Beauty,42359,50,Female,Delhi,Regular,2024-09-07,-79872
O00110,C0087,P100,2024-09-10,4,38070,152280,UPI,Product_100,Sports,21399,57,Male,Mumbai,Premium,2024-03-31,66684
O00111,C0294,P015,2024-10-05,3,51797,155391,Cash,Product_15,Home,22102,45,Male,Chennai,Budget,2024-07-09,89085
O00112,C0278,P097,2024-08-13,1,50807,50807,Card,Product_97,Sports,9683,21,Male,Chennai,Regular,2024-09-26,41124
O00113,C0218,P014,2024-01-17,2,20510,41020,Net Banking,Product_14,Home,49898,48,Female,Bangalore,Budget,2024-10-05,-58776
O00114,C0135,P045,2024-03-01,1,29774,29774,Card,Product_45,Home,11283,26,Female,Mumbai,Premium,2024-05-13,18491
O00115,C0108,P095,2024-06-28,5,46163,230815,Net Banking,Product_95,Sports,15857,61,Male,Hyderabad,Regular,2024-03-27,151530
O00116,C0085,P079,2024-04-15,2,52435,104870,Card,Product_79,Sports,44638,41,Male,Bangalore,Premium,2024-12-15,15594
O00117,C0413,P008,2024-09-29,5,23991,119955,Cash,Product_8,Electronics,26769,34,Female,Mumbai,Budget,2024-05-26,-13890
O00118,C0306,P069,2024-12-26,2,22210,44420,Cash,Product_69,Beauty,29895,19,Male,Chennai,Budget,2024-04-20,-15370
O00119,C0149,P074,2024-09-20,3,57230,171690,UPI,Product_74,Beauty,35709,52,Female,Chennai,Regular,2024-02-05,64563
O00120,C0070,P097,2024-05-21,4,4885,19540,Card,Product_97,Sports,9683,18,Female,Hyderabad,Budget,2024-02-21,-19192
O00121,C0360,P017,2024-12-30,2,10584,21168,Cash,Product_17,Home,1249,62,Male,Chennai,Regular,2024-01-23,18670
O00122,C0425,P032,2024-03-13,4,33077,132308,Cash,Product_32,Beauty,24985,47,Female,Mumbai,Budget,2024-11-23,32368
O00123,C0322,P054,2024-02-08,4,30621,122484,UPI,Product_54,Electronics,37456,54,Female,Hyderabad,Regular,2024-12-29,-27340
O00124,C0207,P066,2024-07-07,3,46528,139584,Net Banking,Product_66,Fashion,27295,31,Female,Hyderabad,Premium,2024-05-27,57699
O00125,C0487,P063,2024-01-02,3,39139,117417,UPI,Product_63,Electronics,35965,65,Male,Mumbai,Premium,2024-12-08,9522
O00126,C0375,P059,2024-02-02,3,56712,170136,Net Banking,Product_59,Fashion,697,48,Female,Hyderabad,Premium,2024-02-10,168045
O00127,C0112,P055,2024-05-17,2,33421,66842,Cash,Product_55,Beauty,37121,20,Male,Pune,Budget,2024-02-07,-7400
O00128,C0425,P037,2024-10-22,3,36868,110604,Card,Product_37,Sports,5865,47,Female,Mumbai,Budget,2024-11-23,93009
O00129,C0290,P063,2024-12-15,3,59599,178797,UPI,Product_63,Electronics,35965,44,Female,Pune,Regular,2024-07-31,70902
O00130,C0024,P013,2024-03-04,4,2067,8268,Card,Product_13,Beauty,15935,52,Female,Chennai,Budget,2024-08-07,-55472
O00131,C0226,P059,2024-04-13,1,29036,29036,Card,Product_59,Fashion,697,39,Female,Chennai,Premium,2024-06-17,28339
O00132,C0452,P084,2024-05-20,3,11418,34254,UPI,Product_84,Fashion,18564,24,Female,Mumbai,Regular,2024-07-06,-21438
O00133,C0336,P047,2024-07-09,3,6401,19203,Card,Product_47,Fashion,8117,37,Female,Hyderabad,Premium,2024-06-29,-5148
O00134,C0027,P051,2024-12-24,3,48578,145734,Card,Product_51,Beauty,4146,27,Male,Chennai,Regular,2024-11-01,133296
O00135,C0220,P084,2024-02-18,1,47117,47117,UPI,Product_84,Fashion,18564,33,Female,Mumbai,Regular,2024-01-23,28553
O00136,C0110,P062,2024-10-30,1,9696,9696,Card,Product_62,Electronics,23079,58,Female,Delhi,Premium,2024-12-10,-13383
O00137,C0266,P088,2024-01-05,4,1608,6432,Cash,Product_88,Fashion,16272,35,Male,Chennai,Regular,2024-04-21,-58656
O00138,C0419,P016,2024-03-08,4,46484,185936,Net Banking,Product_16,Sports,38672,25,Male,Mumbai,Premium,2024-09-09,31248
O00139,C0037,P030,2024-02-22,4,6854,27416,UPI,Product_30,Beauty,10539,21,Male,Hyderabad,Premium,2024-02-13,-14740
O00140,C0161,P048,2024-07-14,3,9986,29958,Card,Product_48,Sports,47483,33,Female,Pune,Budget,2024-05-03,-112491
O00141,C0329,P087,2024-09-28,2,5483,10966,UPI,Product_87,Electronics,40799,58,Male,Hyderabad,Budget,2024-04-09,-70632
O00142,C0313,P084,2024-06-28,2,29842,59684,Card,Product_84,Fashion,18564,40,Female,Delhi,Regular,2024-12-13,22556
O00143,C0322,P096,2024-11-11,2,27981,55962,Net Banking,Product_96,Electronics,14738,54,Female,Hyderabad,Regular,2024-12-29,26486
O00144,C0441,P028,2024-02-21,1,59759,59759,Card,Product_28,Fashion,14973,38,Female,Chennai,Regular,2024-07-23,44786
O00145,C0386,P016,2024-07-15,5,48841,244205,Cash,Product_16,Sports,38672,40,Male,Bangalore,Premium,2024-12-02,50845
O00146,C0494,P055,2024-03-12,3,52844,158532,Card,Product_55,Beauty,37121,29,Female,Mumbai,Premium,2024-07-22,47169
O00147,C0142,P083,2024-10-10,1,17263,17263,Cash,Product_83,Fashion,23185,60,Male,Hyderabad,Premium,2024-08-26,-5922
O00148,C0399,P089,2024-12-03,1,56567,56567,Cash,Product_89,Electronics,4909,29,Female,Bangalore,Premium,2024-02-10,51658
O00149,C0106,P067,2024-04-06,5,34392,171960,Net Banking,Product_67,Beauty,9375,43,Male,Bangalore,Regular,2024-04-17,125085
O00150,C0152,P083,2024-05-02,1,52367,52367,Net Banking,Product_83,Fashion,23185,63,Male,Pune,Premium,2024-09-24,29182
O00151,C0198,P015,2024-11-22,2,33740,67480,UPI,Product_15,Home,22102,48,Female,Bangalore,Premium,2024-10-26,23276
O00152,C0271,P002,2024-03-08,3,21740,65220,Net Banking,Product_2,Sports,19834,58,Male,Delhi,Regular,2024-05-04,5718
O00153,C0441,P073,2024-10-06,4,24947,99788,Card,Product_73,Fashion,8274,38,Female,Chennai,Regular,2024-07-23,66692
O00154,C0391,P061,2024-10-27,1,2093,2093,UPI,Product_61,Beauty,3468,20,Female,Mumbai,Premium,2024-04-12,-1375
O00155,C0008,P034,2024-01-31,2,3610,7220,Net Banking,Product_34,Sports,31356,39,Female,Mumbai,Premium,2024-06-21,-55492
O00156,C0260,P037,2024-07-31,5,51273,256365,Net Banking,Product_37,Sports,5865,22,Female,Chennai,Regular,2024-11-28,227040
O00157,C0360,P052,2024-10-01,1,42978,42978,Card,Product_52,Sports,9147,62,Male,Chennai,Regular,2024-01-23,33831
O00158,C0143,P011,2024-09-18,3,6178,18534,Card,Product_11,Electronics,16756,62,Female,Bangalore,Premium,2024-11-06,-31734
O00159,C0499,P020,2024-07-19,5,22413,112065,UPI,Product_20,Electronics,4571,35,Male,Delhi,Regular,2024-03-24,89210
O00160,C0159,P090,2024-05-02,4,48838,195352,UPI,Product_90,Electronics,39424,39,Female,Hyderabad,Budget,2024-05-21,37656
O00161,C0126,P012,2024-08-20,4,8601,34404,UPI,Product_12,Beauty,17590,39,Female,Pune,Premium,2024-04-15,-35956
O00162,C0159,P086,2024-01-07,2,8827,17654,Card,Product_86,Beauty,2611,39,Female,Hyderabad,Budget,2024-05-21,12432
O00163,C0360,P002,2024-06-26,2,33532,67064,Cash,Product_2,Sports,19834,62,Male,Chennai,Regular,2024-01-23,27396
O00164,C0086,P048,2024-05-17,2,50137,100274,UPI,Product_48,Sports,47483,33,Male,Bangalore,Budget,2024-07-27,5308
O00165,C0395,P004,2024-08-07,3,53894,161682,Cash,Product_4,Sports,12001,39,Female,Delhi,Regular,2024-08-11,125679
O00166,C0269,P009,2024-10-22,3,47682,143046,UPI,Product_9,Fashion,12609,21,Female,Bangalore,Premium,2024-03-03,105219
O00167,C0255,P059,2024-01-29,5,24601,123005,Net Banking,Product_59,Fashion,697,43,Female,Delhi,Regular,2024-01-08,119520
O00168,C0440,P073,2024-03-21,2,25096,50192,Cash,Product_73,Fashion,8274,47,Male,Bangalore,Budget,2024-03-14,33644
O00169,C0396,P014,2024-02-29,5,45179,225895,Card,Product_14,Home,49898,43,Female,Pune,Regular,2024-04-05,-23595
O00170,C0380,P066,2024-01-07,1,3886,3886,Card,Product_66,Fashion,27295,56,Male,Chennai,Budget,2024-10-21,-23409
O00171,C0024,P061,2024-03-17,3,26098,78294,Card,Product_61,Beauty,3468,52,Female,Chennai,Budget,2024-08-07,67890
O00172,C0477,P005,2024-12-31,5,53632,268160,Net Banking,Product_5,Beauty,42359,59,Female,Hyderabad,Regular,2024-04-08,56365
O00173,C0115,P042,2024-06-12,2,28279,56558,Cash,Product_42,Sports,36390,27,Male,Delhi,Regular,2024-04-22,-16222
O00174,C0423,P010,2024-03-02,5,25432,127160,UPI,Product_10,Home,31790,51,Female,Pune,Budget,2024-02-07,-31790
O00175,C0092,P029,2024-07-24,5,4009,20045,UPI,Product_29,Beauty,9253,32,Male,Chennai,Premium,2024-07-23,-26220
O00176,C0450,P060,2024-06-08,3,51693,155079,Cash,Product_60,Electronics,38400,40,Male,Delhi,Regular,2024-09-10,39879
O00177,C0045,P071,2024-07-07,4,1522,6088,Card,Product_71,Sports,45243,22,Male,Mumbai,Premium,2024-01-17,-174884
O00178,C0150,P073,2024-11-14,3,49468,148404,Card,Product_73,Fashion,8274,50,Female,Delhi,Regular,2024-09-07,123582
O00179,C0238,P048,2024-04-10,5,33332,166660,Card,Product_48,Sports,47483,47,Female,Chennai,Budget,2024-03-21,-70755
O00180,C0078,P001,2024-04-29,4,2566,10264,Cash,Product_1,Home,1423,34,Female,Bangalore,Premium,2024-02-17,4572
O00181,C0326,P089,2024-01-01,1,22955,22955,Net Banking,Product_89,Electronics,4909,33,Female,Hyderabad,Regular,2024-09-25,18046
O00182,C0435,P095,2024-04-15,3,7812,23436,Card,Product_95,Sports,15857,59,Male,Hyderabad,Regular,2024-11-12,-24135
O00183,C0215,P063,2024-12-30,1,10330,10330,Cash,Product_63,Electronics,35965,30,Male,Delhi,Regular,2024-07-31,-25635
O00184,C0048,P006,2024-09-23,2,59804,119608,Net Banking,Product_6,Sports,28529,64,Female,Mumbai,Regular,2024-07-27,62550
O00185,C0359,P048,2024-02-13,4,50014,200056,UPI,Product_48,Sports,47483,26,Female,Mumbai,Premium,2024-04-02,10124
O00186,C0259,P018,2024-10-30,4,5904,23616,UPI,Product_18,Home,43339,19,Female,Hyderabad,Premium,2024-11-27,-149740
O00187,C0223,P085,2024-05-29,2,16517,33034,Cash,Product_85,Electronics,48015,50,Female,Delhi,Regular,2024-02-21,-62996
O00188,C0436,P041,2024-06-16,4,46922,187688,Cash,Product_41,Electronics,7853,58,Male,Pune,Budget,2024-10-06,156276
O00189,C0232,P035,2024-04-13,2,5894,11788,Card,Product_35,Fashion,44022,20,Female,Delhi,Regular,2024-07-02,-76256
O00190,C0400,P099,2024-03-20,5,8141,40705,UPI,Product_99,Sports,48440,38,Female,Bangalore,Regular,2024-11-04,-201495
O00191,C0085,P058,2024-07-27,4,21580,86320,UPI,Product_58,Home,26448,41,Male,Bangalore,Premium,2024-12-15,-19472
O00192,C0275,P046,2024-06-06,2,30616,61232,Net Banking,Product_46,Beauty,34601,52,Female,Mumbai,Premium,2024-12-04,-7970
O00193,C0136,P016,2024-12-17,1,11329,11329,Cash,Product_16,Sports,38672,42,Female,Mumbai,Regular,2024-06-16,-27343
O00194,C0424,P091,2024-04-20,5,3643,18215,Cash,Product_91,Sports,29757,26,Female,Chennai,Premium,2024-08-18,-130570
O00195,C0076,P012,2024-07-21,2,24313,48626,UPI,Product_12,Beauty,17590,24,Male,Bangalore,Regular,2024-11-05,13446
O00196,C0347,P039,2024-03-30,3,54745,164235,UPI,Product_39,Home,46622,21,Female,Delhi,Regular,2024-02-18,24369
O00197,C0488,P052,2024-10-08,4,37434,149736,Card,Product_52,Sports,9147,51,Male,Chennai,Premium,2024-01-27,113148
O00198,C0049,P060,2024-03-12,1,53684,53684,UPI,Product_60,Electronics,38400,30,Male,Delhi,Budget,2024-08-08,15284
O00199,C0007,P008,2024-04-11,2,9566,19132,Net Banking,Product_8,Electronics,26769,35,Male,Mumbai,Budget,2024-08-04,-34406
O00200,C0191,P088,2024-10-27,1,39163,39163,Cash,Product_88,Fashion,16272,21,Male,Bangalore,Budget,2024-10-18,22891
O00201,C0470,P010,2024-04-11,1,5225,5225,Net Banking,Product_10,Home,31790,54,Male,Mumbai,Premium,2024-08-13,-26565
O00202,C0415,P017,2024-06-18,1,56527,56527,UPI,Product_17,Home,1249,22,Female,Mumbai,Budget,2024-08-15,55278
O00203,C0022,P060,2024-10-20,1,12009,12009,Net Banking,Product_60,Electronics,38400,31,Female,Pune,Budget,2024-08-22,-26391
O00204,C0421,P093,2024-01-16,4,33514,134056,Net Banking,Product_93,Electronics,16538,47,Male,Hyderabad,Premium,2024-02-03,67904
