order_id,customer_id,product_id,order_date,quantity,unit_price,revenue,payment_method
O00232,C0094,P078,2024-11-09,3,54005,162015,Card
O00233,C0328,P073,2024-03-13,1,33517,33517,Cash
O00234,C0382,P010,2024-06-12,2,23728,47456,Card
O00235,C0326,P012,2024-01-06,3,30270,90810,Cash
O00236,C0108,P032,2024-05-11,1,23969,23969,UPI
O00237,C0369,P001,2024-08-12,1,26292,26292,Net Banking
O00238,C0497,P022,2024-07-12,4,33314,133256,Cash
O00239,C0280,P049,2024-09-02,1,55316,55316,Card
O00240,C0084,P058,2024-01-18,1,53376,53376,Cash
O00241,C0011,P041,2024-02-07,3,7863,23589,Cash
O00242,C0088,P049,2024-02-08,2,48971,97942,UPI
O00243,C0174,P077,2024-09-04,5,59538,297690,UPI
O00244,C0221,P084,2024-08-10,2,40801,81602,Card
O00245,C0028,P013,2024-04-07,3,14470,43410,Net Banking
O00246,C0357,P071,2024-12-04,5,18384,91920,Cash
O00247,C0153,P031,2024-07-20,1,4252,4252,Net Banking
O00248,C0079,P007,2024-08-06,3,1250,3750,UPI
O00249,C0151,P085,2024-04-12,5,32478,162390,UPI
O00250,C0014,P027,2024-05-29,2,42824,85648,UPI
O00251,C0243,P015,2024-07-22,3,52437,157311,Net Banking
O00252,C0251,P085,2024-11-24,3,6972,20916,Net Banking
O00253,C0095,P048,2024-04-05,4,25209,100836,Net Banking
O00254,C0023,P034,2024-05-14,4,31478,125912,Card
O00255,C0429,P035,2024-03-18,5,5039,25195,UPI
O00256,C0044,P086,2024-10-04,3,53964,161892,Net Banking
O00257,C0498,P097,2024-10-10,5,15910,79550,UPI
O00258,C0431,P050,2024-10-01,5,28435,142175,Net Banking
O00259,C0294,P031,2024-02-10,4,20585,82340,Net Banking
O00260,C0463,P092,2024-10-19,1,33905,33905,Card
O00261,C0062,P097,2024-03-26,4,12329,49316,Card
O00262,C0414,P025,2024-08-04,2,3796,7592,UPI
O00263,C0350,P056,2024-11-17,2,54907,109814,Card
O00264,C0428,P077,2024-02-04,3,21955,65865,UPI
O00265,C0199,P072,2024-06-15,4,37179,148716,Cash
O00266,C0267,P059,2024-12-24,1,52547,52547,Net Banking
O00267,C0058,P054,2024-10-17,2,10712,21424,UPI
O00268,C0474,P014,2024-02-21,5,52088,260440,Cash
O00269,C0445,P069,2024-07-29,3,58533,175599,Cash
O00270,C0197,P084,2024-11-07,4,38488,153952,Net Banking
O00271,C0020,P023,2024-03-14,3,27409,82227,Net Banking
O00272,C0020,P051,2024-05-01,3,46253,138759,UPI
O00273,C0382,P061,2024-07-09,3,59787,179361,UPI
O00274,C0173,P039,2024-09-08,3,19372,58116,UPI
O00275,C0498,P030,2024-08-14,2,20692,41384,Cash
O00276,C0138,P094,2024-11-26,4,40647,162588,UPI
O00277,C0097,P057,2024-07-27,2,54999,109998,Net Banking
O00278,C0389,P067,2024-01-29,3,54806,164418,Card
O00279,C0034,P040,2024-03-10,5,27436,137180,UPI
O00280,C0089,P025,2024-01-30,2,55852,111704,Card
O00281,C0017,P059,2024-12-26,1,24617,24617,Card
O00282,C0141,P048,2024-07-22,4,34103,136412,UPI
O00283,C0349,P004,2024-09-07,2,25409,50818,Net Banking
O00284,C0091,P061,2024-06-28,5,37132,185660,Cash
O00285,C0084,P034,2024-01-15,1,19682,19682,Net Banking
O00286,C0026,P021,2024-04-19,5,52106,260530,Card
O00287,C0332,P029,2024-11-29,2,18634,37268,Net Banking
O00288,C0263,P003,2024-03-08,1,32070,32070,Card
O00289,C0308,P002,2024-11-07,2,17540,35080,Cash
O00290,C0365,P091,2024-07-11,3,28774,86322,Cash
O00291,C0236,P033,2024-06-03,2,31585,63170,Net Banking
O00292,C0300,P014,2024-12-05,1,34522,34522,Cash
O00293,C0288,P083,2024-05-24,5,40914,204570,Cash
O00294,C0351,P014,2024-06-21,4,5183,20732,Cash
O00295,C0328,P042,2024-12-01,3,18114,54342,Cash
O00296,C0097,P020,2024-05-03,5,51166,255830,UPI
O00297,C0413,P077,2024-06-12,4,44288,177152,Card
O00298,C0370,P004,2024-05-12,4,20372,81488,Net Banking
O00299,C0208,P050,2024-12-28,1,39209,39209,Card
O00300,C0176,P093,2024-09-30,2,45978,91956,Net Banking
O00301,C0465,P086,2024-06-02,3,34247,102741,Card
O00302,C0431,P085,2024-05-30,5,12870,64350,UPI
O00303,C0242,P017,2024-10-13,3,48525,145575,Card
O00304,C0485,P088,2024-02-15,3,43889,131667,Card
O00305,C0182,P029,2024-06-18,3,28556,85668,Cash
O00306,C0134,P075,2024-03-01,3,31393,94179,Net Banking
O00307,C0028,P082,2024-11-13,5,39031,195155,UPI
O00308,C0242,P025,2024-12-14,5,8852,44260,Net Banking
O00309,C0272,P039,2024-03-18,4,4543,18172,Card
O00310,C0103,P044,2024-08-22,4,38316,153264,Card
O00311,C0162,P092,2024-02-11,2,52048,104096,Net Banking
O00312,C0171,P081,2024-11-20,2,21539,43078,UPI
O00313,C0003,P058,2024-03-27,3,14722,44166,Card
O00314,C0251,P098,2024-11-10,1,9480,9480,Net Banking
O00315,C0325,P055,2024-09-01,4,29116,116464,Net Banking
O00316,C0003,P005,2024-07-10,5,14068,70340,UPI
O00317,C0457,P042,2024-01-10,5,13489,67445,UPI
O00318,C0321,P094,2024-12-21,2,15828,31656,Cash
O00319,C0160,P017,2024-09-14,1,26136,26136,Cash
O00320,C0086,P009,2024-05-28,1,20542,20542,Net Banking
O00321,C0373,P067,2024-06-21,5,35348,176740,Net Banking
O00322,C0455,P088,2024-09-07,2,23461,46922,Cash
O00323,C0385,P025,2024-07-25,2,54215,108430,UPI
O00324,C0117,P029,2024-01-12,2,14840,29680,Card
O00325,C0064,P047,2024-11-23,1,25588,25588,Cash
O00326,C0395,P069,2024-10-31,5,4184,20920,UPI
O00327,C0339,P014,2024-12-19,1,4161,4161,UPI
O00328,C0214,P057,2024-10-07,4,9099,36396,Cash
O00329,C0243,P090,2024-12-21,2,14467,28934,UPI
O00330,C0155,P054,2024-09-23,1,44416,44416,Cash
O00331,C0319,P078,2024-02-23,2,28448,56896,UPI
O00332,C0145,P015,2024-04-11,1,33619,33619,Card
O00333,C0399,P034,2024-07-02,5,14216,71080,Net Banking
O00334,C0152,P021,2024-09-11,1,36922,36922,Card
O00335,C0353,P062,2024-01-02,3,16368,49104,UPI
O00336,C0344,P012,2024-10-20,1,55737,55737,Net Banking
O00337,C0077,P012,2024-02-21,5,5918,29590,Cash
O00338,C0330,P030,2024-05-15,4,20400,81600,Net Banking
O00339,C0026,P013,2024-01-21,2,58287,116574,Cash
O00340,C0185,P087,2024-02-29,3,28918,86754,UPI
O00341,C0436,P098,2024-03-11,1,1633,1633,Card
O00342,C0169,P046,2024-05-17,4,41750,167000,UPI
O00343,C0191,P044,2024-07-24,2,8460,16920,Net Banking
O00344,C0493,P059,2024-07-16,3,55768,167304,Net Banking
O00345,C0410,P054,2024-03-08,2,8409,16818,UPI
O00346,C0483,P021,2024-10-29,1,28264,28264,Net Banking
O00347,C0411,P073,2024-11-08,4,12879,51516,Net Banking
O00348,C0399,P046,2024-12-16,5,2888,14440,Card
O00349,C0248,P063,2024-07-29,1,59169,59169,Net Banking
O00350,C0024,P009,2024-06-09,3,43924,131772,UPI
O00351,C0361,P087,2024-10-22,5,51300,256500,Card
O00352,C0490,P086,2024-09-24,3,35019,105057,UPI
O00353,C0222,P085,2024-06-26,2,32583,65166,Net Banking
O00354,C0077,P072,2024-01-06,5,4576,22880,Card
O00355,C0259,P061,2024-03-25,4,57978,231912,UPI
O00356,C0385,P063,2024-06-18,3,16787,50361,Cash
O00357,C0026,P065,2024-11-25,2,37077,74154,Net Banking
O00358,C0207,P031,2024-08-15,1,31087,31087,Net Banking
O00359,C0046,P064,2024-03-01,4,21713,86852,Net Banking
O00360,C0382,P084,2024-07-25,1,7726,7726,Net Banking
O00361,C0019,P072,2024-02-16,5,1011,5055,Cash
O00362,C0456,P066,2024-12-01,5,14556,72780,Net Banking
O00363,C0487,P044,2024-01-28,3,55087,165261,Card
O00364,C0433,P059,2024-11-13,3,37710,113130,Net Banking
O00365,C0367,P085,2024-08-19,3,47918,143754,UPI
O00366,C0050,P098,2024-06-23,2,1143,2286,Cash
O00367,C0425,P082,2024-09-24,3,36893,110679,Cash
O00368,C0360,P014,2024-03-25,1,59777,59777,Net Banking
O00369,C0072,P092,2024-05-10,4,8009,32036,Card
O00370,C0097,P016,2024-08-22,4,15128,60512,Card
O00371,C0367,P044,2024-07-31,1,50620,50620,UPI
O00372,C0475,P082,2024-08-18,5,9075,45375,Net Banking
O00373,C0338,P076,2024-09-12,5,9823,49115,UPI
O00374,C0272,P095,2024-08-09,1,37256,37256,Net Banking
O00375,C0474,P066,2024-10-23,2,46338,92676,Card
O00376,C0375,P017,2024-12-02,1,26389,26389,Cash
O00377,C0259,P050,2024-12-20,4,40911,163644,Card
O00378,C0141,P051,2024-08-19,3,20278,60834,Card
O00379,C0071,P053,2024-09-19,5,46876,234380,Cash
O00380,C0432,P090,2024-06-09,5,57407,287035,Card
O00381,C0103,P027,2024-05-28,5,47817,239085,Cash
O00382,C0472,P087,2024-11-28,2,47556,95112,Card
O00383,C0258,P070,2024-02-29,3,47553,142659,Cash
O00384,C0288,P062,2024-12-07,5,38397,191985,Net Banking
O00385,C0346,P096,2024-08-04,5,19738,98690,UPI
O00386,C0268,P014,2024-03-15,1,25960,25960,UPI
O00387,C0344,P008,2024-03-23,2,18496,36992,Cash
O00388,C0350,P033,2024-02-01,2,56009,112018,Cash
O00389,C0105,P097,2024-07-02,5,3117,15585,Net Banking
O00390,C0053,P079,2024-04-24,5,57678,288390,Net Banking
O00391,C0122,P066,2024-12-06,3,46412,139236,UPI
O00392,C0475,P049,2024-12-16,4,28300,113200,Cash
O00393,C0495,P071,2024-05-08,1,1849,1849,Card
O00394,C0318,P100,2024-04-25,4,55393,221572,Cash
O00395,C0387,P076,2024-11-04,5,49395,246975,Card
O00396,C0398,P093,2024-08-17,2,20279,40558,Card
O00397,C0350,P010,2024-09-20,2,12389,24778,UPI
O00398,C0194,P006,2024-10-11,4,19291,77164,Cash
O00399,C0067,P021,2024-05-10,5,56444,282220,UPI
O00400,C0170,P060,2024-03-19,2,3617,7234,Cash
O00401,C0306,P007,2024-12-04,5,56256,281280,Cash
O00402,C0252,P074,2024-02-07,5,24467,122335,Cash
O00403,C0270,P029,2024-02-04,2,35118,70236,Card
O00404,C0213,P070,2024-02-17,5,27438,137190,Cash
O00405,C0114,P028,2024-07-03,3,22696,68088,Cash
O00406,C0112,P097,2024-08-31,5,35766,178830,UPI
O00407,C0059,P086,2024-05-03,3,30207,90621,Card
O00408,C0491,P006,2024-02-28,3,25993,77979,Net Banking
O00409,C0132,P070,2024-09-21,3,2619,7857,Cash
O00410,C0264,P066,2024-01-23,4,32903,131612,Cash
O00411,C0460,P084,2024-09-20,2,21992,43984,UPI
O00412,C0486,P013,2024-10-02,2,51680,103360,UPI
O00413,C0321,P009,2024-11-18,2,44931,89862,Card
O00414,C0443,P088,2024-02-23,4,55766,223064,Card
O00415,C0276,P090,2024-02-06,4,43373,173492,Card
O00416,C0013,P059,2024-02-14,3,3482,10446,UPI
O00417,C0028,P023,2024-02-06,3,37574,112722,Card
O00418,C0467,P034,2024-08-18,4,26430,105720,Net Banking
O00419,C0222,P041,2024-12-10,1,26526,26526,UPI
O00420,C0274,P001,2024-10-26,5,5144,25720,UPI
O00421,C0359,P010,2024-02-24,3,33953,101859,Cash
O00422,C0403,P088,2024-02-14,3,40751,122253,Cash
O00423,C0392,P057,2024-12-04,4,26894,107576,UPI
O00424,C0243,P021,2024-03-10,5,15409,77045,Net Banking
O00425,C0408,P070,2024-03-14,3,42552,127656,Cash
O00426,C0347,P094,2024-10-10,3,1730,5190,Card
O00427,C0064,P006,2024-11-01,1,38533,38533,Net Banking
O00428,C0276,P071,2024-04-17,1,20968,20968,Cash
O00429,C0109,P053,2024-03-23,5,10335,51675,Card
O00430,C0114,P079,2024-02-28,3,13735,41205,Card
O00431,C0344,P073,2024-10-08,1,56796,56796,Net Banking
O00432,C0331,P071,2024-12-09,1,20048,20048,UPI
O00433,C0129,P013,2024-10-24,2,48552,97104,Net Banking
O00434,C0488,P043,2024-12-09,3,9402,28206,Card
O00435,C0052,P037,2024-04-09,5,5574,27870,Cash
O00436,C0249,P058,2024-12-03,3,41392,124176,Cash
O00437,C0356,P075,2024-10-17,2,38064,76128,Cash
O00438,C0414,P041,2024-01-03,4,12051,48204,Cash
O00439,C0127,P029,2024-07-03,4,19132,76528,Card
O00440,C0348,P094,2024-09-02,3,58533,175599,Net Banking
O00441,C0229,P046,2024-10-09,3,32914,98742,UPI
O00442,C0090,P083,2024-05-23,5,6372,31860,Card
O00443,C0457,P069,2024-11-16,2,18251,36502,UPI
O00444,C0373,P010,2024-09-16,1,56678,56678,UPI
O00445,C0417,P075,2024-10-29,5,27550,137750,Card
O00446,C0465,P005,2024-10-05,5,18079,90395,Net Banking
O00447,C0335,P100,2024-07-19,2,24974,49948,Card
O00448,C0457,P099,2024-05-28,5,49052,245260,Card
O00449,C0238,P065,2024-07-22,5,6934,34670,Cash
O00450,C0258,P002,2024-11-10,2,56573,113146,Card
O00451,C0388,P066,2024-03-22,2,30243,60486,Card
O00452,C0290,P073,2024-09-04,2,49229,98458,Cash
O00453,C0021,P029,2024-02-02,4,16187,64748,Cash
O00454,C0190,P030,2024-04-15,1,44816,44816,Cash
O00455,C0199,P061,2024-01-24,4,58773,235092,UPI
O00456,C0333,P042,2024-09-23,1,47120,47120,Cash
O00457,C0428,P095,2024-10-05,3,38921,116763,Card
O00458,C0193,P084,2024-10-27,4,24940,99760,UPI
O00459,C0265,P033,2024-09-21,4,15607,62428,Net Banking
O00460,C0181,P045,2024-09-03,4,52947,211788,UPI
